SPSS变量名,原始变量名,P值
Y_VTE,潜在可预防VTE,
X1,是否机械预防,0.0
X2,规范预防,0.0
X3,机械预防措施（VTE确诊前）_气压治疗,0.0
X4,机械预防措施（VTE确诊前）_0,0.0
X5,VTE首次中高危评分日期与机械预防日期差值_none,0.0
X6,预防措施_药物预防+机械预防,0.0
X7,首次VTE中高风险评分日期与机械预防日期差值_无,0.0
X8,VTE确诊日期与入院日期差值,0.0004
X9,VTE诊断日期与入院日期是否大于24h,0.0006
X10,预防措施_药物预防,0.0032
X11,是否步速缓慢,0.0057
X12,本次入院前90天有无住院史、治疗史、手术史,0.0079
X13,VTE评估量表（padua1，caprini2，P+C3）_padua,0.0093
X14,住院天数,0.0107
X15,是否体力活动水平低,0.0127
X16,是否药物预防,0.0171
X17,我院相关VTE,0.0185
X18,首次DD与入院日期差值与VTE首次中高危评分日期差值,0.0217
X19,VTE评估量表（padua1，caprini2，P+C3）_caprini,0.0244
X20,总钙(mmol/L),0.0257
X21,是否久坐/卧床,0.0259
X22,90天前是否我院就诊,0.0285
X23,白细胞计数(*10^9/L),0.033
X24,中性粒细胞绝对值(NEUT#)（*10^9/L）,0.0357
X25,首次VTE中高风险评分日期与药物预防日期差值,0.0417
X26,纤维蛋白原Fbg（g/L）,0.0419
X27,医院相关性VTE,0.0502
X28,VTE中高危评分,0.0599
X29,首次异常D-二聚体检测数值（μg/ml FEU）_0.56,0.067
X30,首次D-二聚体检测数值（μg/ml FEU）,0.0814
