SPSS变量名,原始变量名,P值
Y_GF,规范预防,
X1,潜在可预防VTE,0.0
X2,VTE首次中高危评分日期与机械预防日期差值_none,0.0
X3,首次VTE中高风险评分日期与机械预防日期差值_无,0.0
X4,VTE中高危评分,0.0002
X5,机械预防措施（VTE确诊前）_0,0.0004
X6,机械预防措施（VTE确诊前）_气压治疗,0.0004
X7,是否机械预防,0.0004
X8,VTE首次中高危评分日期与机械预防日期差值_0,0.0008
X9,白细胞计数(*10^9/L),0.001
X10,中性粒细胞绝对值(NEUT#)（*10^9/L）,0.0023
X11,90天前是否我院就诊,0.0029
X12,炎症,0.003
X13,Braden量表,0.0088
X14,预防措施_药物预防+机械预防,0.0097
X15,VTE诊断日期与入院日期是否大于24h,0.0102
X16,活化凝血酶原时间APTT,0.0116
X17,本次入院前90天有无住院史、治疗史、手术史,0.0137
X18,入院科室_神经外科,0.015
X19,感染史,0.0203
X20,预防措施_无预防,0.0212
X21,是否疲惫,0.0258
X22,肾功能不全,0.0264
X23,高血压史,0.0265
X24,首次D-二聚体检测数值（μg/ml FEU）,0.0278
X25,首次VTE中高风险评分日期与药物预防日期差值,0.0331
X26,住院天数,0.0476
X27,总钙(mmol/L),0.0656
X28,血红蛋白浓度HGB【确诊前最近一次】(g/L),0.0704
X29,是否久坐/卧床,0.0704
X30,首次DD与入院日期差值与VTE首次中高危评分日期差值,0.0731
