变量,β系数,OR,95%CI下限,95%CI上限,P值
是否机械预防,-3.5458,0.0288,0.0073,0.1136,0.0
规范预防,-2.3671,0.0938,0.0319,0.2759,0.0
机械预防措施（VTE确诊前）_气压治疗,-3.6601,0.0257,0.0065,0.1025,0.0
机械预防措施（VTE确诊前）_0,3.6601,38.8667,9.7521,154.9013,0.0
VTE首次中高危评分日期与机械预防日期差值_none,3.1556,23.4667,6.1547,89.474,0.0
预防措施_药物预防+机械预防,-3.6357,0.0264,0.0069,0.1004,0.0
首次VTE中高风险评分日期与机械预防日期差值_无,3.1556,23.4667,6.1547,89.474,0.0
VTE确诊日期与入院日期差值,-0.1595,0.8526,0.7805,0.9314,0.0004
VTE诊断日期与入院日期是否大于24h,-3.5968,0.0274,0.0035,0.2157,0.0006
预防措施_药物预防,1.9607,7.1042,1.9294,26.1582,0.0032
是否步速缓慢,-2.1547,0.1159,0.0251,0.5347,0.0057
本次入院前90天有无住院史、治疗史、手术史,1.3187,3.7386,1.4139,9.8854,0.0079
VTE评估量表（padua1，caprini2，P+C3）_padua,1.3072,3.6957,1.3808,9.8911,0.0093
住院天数,-0.0609,0.9409,0.898,0.986,0.0107
是否体力活动水平低,-1.4992,0.2233,0.0687,0.7256,0.0127
是否药物预防,-1.4351,0.2381,0.0732,0.7741,0.0171
我院相关VTE,-2.4849,0.0833,0.0105,0.659,0.0185
首次DD与入院日期差值与VTE首次中高危评分日期差值,-0.2745,0.76,0.6012,0.9606,0.0217
VTE评估量表（padua1，caprini2，P+C3）_caprini,-1.0986,0.3333,0.1281,0.8674,0.0244
总钙(mmol/L),4.5271,92.4915,1.7323,4938.2681,0.0257
是否久坐/卧床,-1.1844,0.3059,0.1079,0.8675,0.0259
90天前是否我院就诊,1.2272,3.4118,1.1378,10.23,0.0285
白细胞计数(*10^9/L),-0.1374,0.8716,0.7681,0.989,0.033
中性粒细胞绝对值(NEUT#)（*10^9/L）,-0.131,0.8773,0.7763,0.9913,0.0357
首次VTE中高风险评分日期与药物预防日期差值,-0.141,0.8685,0.7583,0.9947,0.0417
纤维蛋白原Fbg（g/L）,-0.4381,0.6452,0.4231,0.9841,0.0419
医院相关性VTE,1.0986,3.0,0.9989,9.0098,0.0502
VTE中高危评分,-0.1555,0.856,0.728,1.0065,0.0599
首次异常D-二聚体检测数值（μg/ml FEU）_0.56,1.4469,4.25,0.9036,19.9897,0.067
首次D-二聚体检测数值（μg/ml FEU）,-0.1712,0.8427,0.6951,1.0216,0.0814
入院科室_神经外科,-1.0986,0.3333,0.096,1.1577,0.0837
活化凝血酶原时间APTT,-0.0789,0.9241,0.8425,1.0136,0.0944
入院科室_泌尿外科,-1.3375,0.2625,0.0542,1.271,0.0965
VTE首次中高危评分日期与机械预防日期差值_0,-0.9139,0.4009,0.1364,1.1787,0.0967
VTE首次中高危评分日期与药物预防日期差值_none,0.8492,2.3377,0.8571,6.3756,0.0972
嗜酸性粒细胞比值,0.225,1.2523,0.9469,1.6562,0.1147
VTE首次中高危评分日期与机械预防日期差值_1,-1.4253,0.2404,0.0376,1.5359,0.132
出血风险评估（1/0）,-0.7999,0.4494,0.1579,1.279,0.1339
红细胞计数(*10^12/L),0.5666,1.7622,0.8268,3.756,0.1423
钾离子,0.6525,1.9203,0.7875,4.6823,0.1514
Braden量表,0.0805,1.0838,0.9704,1.2105,0.1537
VTE首次中高危评分日期与机械预防日期差值_-1,-1.6848,0.1855,0.016,2.1445,0.1773
入院科室_重症医学科,-1.6848,0.1855,0.016,2.1445,0.1773
VTE首次中高危评分日期与药物预防日期差值_-1,-1.6848,0.1855,0.016,2.1445,0.1773
是否疲惫,-0.6585,0.5176,0.1953,1.3724,0.1856
VTE首次中高危评分日期与入院日期差值,-0.2724,0.7616,0.492,1.1788,0.2217
凝血酶原时间PT（s）,-0.1679,0.8455,0.6314,1.1322,0.2598
BMI,0.0781,1.0812,0.9405,1.243,0.2721
身高,3.5349,34.2924,0.0323,36408.4398,0.32
是否存在抗凝禁忌,0.4643,1.5909,0.6258,4.0445,0.3294
首次VTE中高风险评分日期与机械预防日期差值,-0.061,0.9408,0.8306,1.0655,0.3366
入院收缩压,-0.0105,0.9895,0.9685,1.0111,0.3376
血红蛋白浓度HGB【确诊前最近一次】(g/L),0.0113,1.0113,0.9881,1.0351,0.3419
入院科室_骨关节科,-0.9754,0.377,0.0501,2.836,0.3434
首次DD与入院日期差值,-0.2424,0.7847,0.4633,1.3291,0.3672
糖尿病史,0.4595,1.5833,0.5503,4.5555,0.3941
嗜酸粒细胞绝对值(E0#)（*10^9/L）,1.5168,4.5576,0.1362,152.4785,0.397
VTE首次中高危评分日期与药物预防日期差值_0,0.4951,1.6406,0.4862,5.5367,0.425
呼吸系统疾病/COPD,-0.3522,0.7031,0.2703,1.829,0.4702
感染史,-0.3909,0.6765,0.2192,2.0876,0.4966
VTE评估量表（padua1，caprini2，P+C3）_padua、caprini,-0.9491,0.3871,0.0233,6.4398,0.5082
入院科室_创伤骨科,-0.9491,0.3871,0.0233,6.4398,0.5082
首次异常D-二聚体检测数值（μg/ml FEU）_1.25,-0.9491,0.3871,0.0233,6.4398,0.5082
