变量,类型,阴性组(n=122),阳性组(n=102),P值
医院相关性VTE,分类,51/122 (41.8%),102/102 (100.0%),4.382600088415504e-20
我院相关VTE,分类,51/122 (41.8%),102/102 (100.0%),4.382600088415504e-20
90天前是否我院就诊,分类,13/122 (10.7%),72/102 (70.6%),1.2200068270303892e-19
本次入院前90天有无住院史、治疗史、手术史,分类,44/122 (36.1%),79/102 (77.5%),1.3243461953605362e-09
是否机械预防,分类,67/122 (54.9%),25/102 (24.5%),7.800050944820829e-06
机械预防措施（VTE确诊前）_0,分类,55/122 (45.1%),77/102 (75.5%),7.800050944820829e-06
机械预防措施（VTE确诊前）_气压治疗,分类,67/122 (54.9%),25/102 (24.5%),7.800050944820829e-06
VTE首次中高危评分日期与机械预防日期差值_none,分类,54/122 (44.3%),75/102 (73.5%),1.8840259613267925e-05
首次VTE中高风险评分日期与机械预防日期差值_无,分类,54/122 (44.3%),75/102 (73.5%),1.8840259613267925e-05
出血风险评估（1/0）,分类,82/122 (67.2%),40/102 (39.2%),5.001284925550635e-05
预防措施_药物预防+机械预防,分类,53/122 (43.4%),19/102 (18.6%),0.0001352442722443222
入院科室_康复科,分类,6/122 (4.9%),22/102 (21.6%),0.0003856538922253643
预防措施_药物预防,分类,40/122 (32.8%),55/102 (53.9%),0.00227542804766529
VTE中高危评分,连续,7.52±3.03,6.27±2.67,0.0028822453052058934
规范预防,分类,40/122 (32.8%),15/102 (14.7%),0.0029272666365455693
炎症,分类,83/122 (68.0%),49/102 (48.0%),0.0038189595911126513
入院科室_神经外科,分类,22/122 (18.0%),5/102 (4.9%),0.005111727113388943
呼吸系统疾病/COPD,分类,73/122 (59.8%),43/102 (42.2%),0.012320013770813099
主要疾病诊断_肺栓塞,分类,11/122 (9.0%),1/102 (1.0%),0.018171702243340946
VTE首次中高危评分日期与药物预防日期差值_2,分类,1/122 (0.8%),8/102 (7.8%),0.020119078712122738
主要疾病诊断_脑梗死恢复期,分类,3/122 (2.5%),11/102 (10.8%),0.022233914054489316
感染史,分类,89/122 (73.0%),59/102 (57.8%),0.02531239580540751
嗜酸性粒细胞比值,连续,1.62±1.90,2.11±2.09,0.049697741453619985
首次D-二聚体检测数值（μg/ml FEU）,连续,3.32±2.97,2.81±2.80,0.05911949913549162
活化凝血酶原时间APTT,连续,28.23±4.06,29.27±4.68,0.06176720983796762
VTE首次中高危评分日期与机械预防日期差值_-1,分类,6/122 (4.9%),0/102 (0.0%),0.0636168286031941
是否体力活动水平低,分类,70/122 (57.4%),45/102 (44.1%),0.06532105575175413
入院收缩压,连续,135.06±23.67,129.04±20.28,0.07858498072694814
年龄,连续,66.99±15.25,63.05±15.88,0.07959182420700643
VTE首次中高危评分日期与机械预防日期差值_0,分类,32/122 (26.2%),16/102 (15.7%),0.07983333762842862
是否久坐/卧床,分类,86/122 (70.5%),60/102 (58.8%),0.09204459361358873
预防措施_无预防,分类,15/122 (12.3%),22/102 (21.6%),0.09282130474521108
嗜酸粒细胞绝对值(E0#)（*10^9/L）,连续,0.13±0.16,0.15±0.15,0.09650203589232038
首次DD与入院日期差值与VTE首次中高危评分日期差值,连续,0.35±1.95,-0.11±1.94,0.10903810029143023
首次异常DD与入院日期差值,分类,76/122 (62.3%),72/102 (70.6%),0.14947341917422247
糖尿病史,分类,29/122 (23.8%),34/102 (33.3%),0.15097871084230932
是否疲惫,分类,35/122 (28.7%),20/102 (19.6%),0.15658096664264873
入院科室_呼吸与危重症医学科,分类,25/122 (20.5%),13/102 (12.7%),0.1739325747427171
高血压史,分类,73/122 (59.8%),51/102 (50.0%),0.1803124030461476
主要疾病诊断_脑内出血,分类,4/122 (3.3%),0/102 (0.0%),0.18065719361670574
入院科室_脊柱外科,分类,8/122 (6.6%),2/102 (2.0%),0.18216447369648853
VTE首次中高危评分日期与机械预防日期差值_1,分类,8/122 (6.6%),2/102 (2.0%),0.18216447369648853
首次异常D-二聚体检测数值（μg/ml FEU）_0.56,分类,10/122 (8.2%),15/102 (14.7%),0.18427427044518896
入院科室_感染科,分类,0/122 (0.0%),3/102 (2.9%),0.1856721797096262
VTE评估量表（padua1，caprini2，P+C3）_caprini,分类,43/122 (35.2%),27/102 (26.5%),0.20538055280021392
是否存在抗凝禁忌,分类,85/122 (69.7%),62/102 (60.8%),0.21002167429563007
钾离子,连续,3.84±0.47,3.90±0.51,0.21607349950392196
预防措施_机械预防,分类,14/122 (11.5%),6/102 (5.9%),0.21994767847630087
纤维蛋白原Fbg（g/L）,连续,3.72±1.37,3.87±1.38,0.24250745023108822
VTE诊断日期与入院日期是否大于24h,分类,52/122 (42.6%),52/102 (51.0%),0.2650596624863528
肾功能不全,分类,39/122 (32.0%),25/102 (24.5%),0.2793002112291879
VTE首次中高危评分日期与药物预防日期差值_4,分类,5/122 (4.1%),1/102 (1.0%),0.30589178164177316
主要疾病诊断_颅内动脉瘤破裂伴蛛网膜下腔出血,分类,3/122 (2.5%),0/102 (0.0%),0.312085711873039
VTE首次中高危评分日期与药物预防日期差值_13,分类,3/122 (2.5%),0/102 (0.0%),0.312085711873039
VTE首次中高危评分日期与入院日期差值,分类,56/122 (45.9%),30/102 (29.4%),0.32945468943324535
手术史,分类,57/122 (46.7%),55/102 (53.9%),0.3476458707771801
入院科室_普外科,分类,4/122 (3.3%),7/102 (6.9%),0.354564161007345
中性粒细胞绝对值(NEUT#)（*10^9/L）,连续,6.55±3.61,6.17±3.66,0.36172667595431196
