变量,β系数,OR,95%CI下限,95%CI上限,P值
出血风险评估（1/0）,-1.1561,0.3147,0.1818,0.5447,0.0
90天前是否我院就诊,3.0019,20.1231,9.8377,41.1617,0.0
本次入院前90天有无住院史、治疗史、手术史,1.8065,6.0889,3.3636,11.0225,0.0
是否机械预防,-1.3223,0.2665,0.15,0.4737,0.0
机械预防措施（VTE确诊前）_气压治疗,-1.3223,0.2665,0.15,0.4737,0.0
VTE首次中高危评分日期与机械预防日期差值_none,1.2522,3.4979,1.9848,6.1648,0.0
机械预防措施（VTE确诊前）_0,1.3223,3.752,2.1111,6.6684,0.0
首次VTE中高风险评分日期与机械预防日期差值_无,1.2522,3.4979,1.9848,6.1648,0.0
预防措施_药物预防+机械预防,-1.2106,0.298,0.1613,0.5505,0.0001
入院科室_康复科,1.6708,5.3167,2.0632,13.7002,0.0005
预防措施_药物预防,0.875,2.3989,1.3943,4.1275,0.0016
VTE中高危评分,-0.1552,0.8563,0.7758,0.945,0.002
规范预防,-1.04,0.3534,0.1816,0.6877,0.0022
炎症,-0.8338,0.4344,0.2522,0.7483,0.0027
入院科室_神经外科,-1.4511,0.2343,0.0853,0.6436,0.0049
呼吸系统疾病/COPD,-0.715,0.4892,0.2867,0.8347,0.0087
感染史,-0.6758,0.5088,0.2905,0.891,0.0181
主要疾病诊断_脑梗死恢复期,1.5675,4.7949,1.2997,17.69,0.0186
主要疾病诊断_肺栓塞,-2.3035,0.0999,0.0127,0.7876,0.0288
VTE首次中高危评分日期与药物预防日期差值_2,2.3319,10.2979,1.2658,83.7792,0.0292
入院收缩压,-0.0125,0.9876,0.9756,0.9998,0.0464
是否体力活动水平低,-0.5336,0.5865,0.345,0.9969,0.0487
VTE首次中高危评分日期与机械预防日期差值_0,-0.6477,0.5233,0.268,1.0215,0.0577
年龄,-0.0164,0.9838,0.967,1.0008,0.0614
预防措施_无预防,0.6738,1.9617,0.9574,4.0196,0.0656
嗜酸性粒细胞比值,0.127,1.1354,0.9917,1.2999,0.0659
是否久坐/卧床,-0.5142,0.598,0.3437,1.0406,0.0689
活化凝血酶原时间APTT,0.0552,1.0567,0.9937,1.1238,0.0788
首次DD与入院日期差值与VTE首次中高危评分日期差值,-0.1263,0.8814,0.7639,1.0169,0.0835
糖尿病史,0.4722,1.6034,0.8925,2.8807,0.1142
是否疲惫,-0.5004,0.6063,0.3239,1.1347,0.1176
入院科室_脊柱外科,-1.2553,0.285,0.0591,1.3734,0.1177
VTE首次中高危评分日期与机械预防日期差值_1,-1.2553,0.285,0.0591,1.3734,0.1177
入院科室_呼吸与危重症医学科,-0.5679,0.5667,0.2733,1.1752,0.127
首次异常D-二聚体检测数值（μg/ml FEU）_0.56,0.6581,1.931,0.8272,4.5078,0.1282
高血压史,-0.3986,0.6712,0.3948,1.1412,0.141
预防措施_机械预防,-0.7295,0.4821,0.1782,1.3042,0.1508
