Variable,Type,Count,Mean,Std Dev,Min,Max,25%,50%(Median),75%,Category,Percentage (%)
中性粒细胞绝对值(NEUT#)（*10^9/L）,Numeric,224,6.38,3.63,0.43,19.22,3.86,5.66,7.64,,
BMI,Numeric,224,22.62,3.23,14.59,32.46,21.26,22.49,24.53,,
首次VTE中高风险评分日期与机械预防日期差值,Numeric,224,0.28,5.32,-33.0,37.0,0.0,0.0,0.0,,
住院天数,Numeric,224,16.23,11.0,1,68,8.0,14.0,23.0,,
出院收缩压,Numeric,224,126.89,17.85,83,181,115.75,125.0,138.0,,
红细胞计数(*10^12/L),Numeric,224,3.84,0.79,1.45,5.65,3.31,3.86,4.38,,
年龄,Numeric,224,65.2,15.63,19,103,55.0,68.0,76.25,,
嗜酸性粒细胞比值,Numeric,224,1.84,2.0,0.0,9.3,0.4,1.3,2.62,,
身高,Numeric,224,1.62,0.08,1.35,1.83,1.57,1.62,1.67,,
VTE中高危评分,Numeric,224,6.95,2.93,0,16,5.0,6.0,9.0,,
首次VTE中高风险评分日期与药物预防日期差值,Numeric,224,0.93,3.63,-14,13,0.0,0.0,1.0,,
RBC平均血红蛋白量(MCH),Numeric,224,29.42,3.0,18.7,35.8,28.1,29.8,31.3,,
VTE确诊日期与入院日期差值,Numeric,224,3.78,6.2,-20,27,0.0,2.0,7.0,,
凝血酶原时间PT（s）,Numeric,224,12.36,1.48,9.3,17.8,11.5,12.1,12.92,,
首次D-二聚体检测数值（μg/ml FEU）,Numeric,224,3.09,2.9,0.08,14.52,1.12,2.24,4.3,,
出院舒张压,Numeric,224,75.35,11.01,40,101,68.75,75.0,82.0,,
入院舒张压,Numeric,224,78.78,13.05,48,128,70.0,79.0,86.0,,
活化凝血酶原时间APTT,Numeric,224,28.7,4.38,21.4,44.4,26.08,27.8,29.75,,
纤维蛋白原Fbg（g/L）,Numeric,224,3.79,1.37,0.01,8.1,2.85,3.65,4.56,,
RBC平均血红蛋白浓度(MCHC),Numeric,224,329.16,13.3,277,361,322.75,330.0,338.0,,
血红蛋白浓度HGB【确诊前最近一次】(g/L),Numeric,224,111.43,24.27,33.6,165.0,95.0,112.0,129.0,,
Braden量表,Numeric,224,17.12,4.52,8,23,13.0,18.0,21.0,,
钾离子,Numeric,224,3.87,0.49,2.53,5.77,3.55,3.88,4.18,,
嗜酸粒细胞绝对值(E0#)（*10^9/L）,Numeric,224,0.14,0.15,0.0,0.78,0.03,0.09,0.19,,
首次DD与入院日期差值与VTE首次中高危评分日期差值,Numeric,224,0.14,1.95,-6,7,-1.0,0.0,0.0,,
白细胞计数(*10^9/L),Numeric,224,8.56,3.88,1.08,21.02,5.97,7.82,10.3,,
入院收缩压,Numeric,224,132.32,22.35,88,212,117.0,129.0,146.0,,
总钙(mmol/L),Numeric,224,2.14,0.15,1.7,2.74,2.04,2.14,2.23,,
是否体力活动水平低,Categorical,224,,,,,,,,115,51.34
出血风险评估（1/0）,Categorical,224,,,,,,,,122,54.46
VTE诊断日期与入院日期是否大于24h,Categorical,224,,,,,,,,104,46.43
医院相关性VTE,Categorical,224,,,,,,,,153,68.3
首次异常DD与入院日期差值,Categorical,224,,,,,,,,148,66.07
是否药物预防,Categorical,224,,,,,,,,170,75.89
90天前是否我院就诊,Categorical,224,,,,,,,,85,37.95
是否步速缓慢,Categorical,224,,,,,,,,90,40.18
VTE首次中高危评分日期与入院日期差值,Categorical,224,,,,,,,,86,38.39
是否存在抗凝禁忌,Categorical,224,,,,,,,,147,65.62
本次入院前90天有无住院史、治疗史、手术史,Categorical,224,,,,,,,,123,54.91
高血压史,Categorical,224,,,,,,,,124,55.36
糖尿病史,Categorical,224,,,,,,,,63,28.12
