变量,β系数,SE,OR值,95%CI下限,95%CI上限,P值
首次D-二聚体检测数值（μg/ml FEU）,0.5912,0.2562,1.8062,1.0931,2.9844,0.021025461336223062
凝血酶原时间PT（s）,0.4418,0.2322,1.5556,0.9867,2.4523,0.05710315399576083
是否久坐/卧床,2.113,1.1449,8.2727,0.8773,78.0131,0.06494741326084941
RBC平均血红蛋白量(MCH),-0.2328,0.1294,0.7923,0.6148,1.0211,0.0720437416703812
是否疲惫,1.9459,1.1443,7.0,0.743,65.9453,0.08904468207322228
总钙(mmol/L),-5.8151,3.4203,0.003,0.0,2.4318,0.08909563500325433
是否步速缓慢,1.7789,1.1449,5.9231,0.6281,55.8555,0.12023570509564903
首次异常DD与入院日期差值,-1.1404,0.7425,0.3197,0.0746,1.3702,0.12457501557310101
年龄,0.0464,0.0312,1.0475,0.9855,1.1135,0.13625065822793578
嗜酸粒细胞绝对值(E0#)（*10^9/L）,-7.085,4.7891,0.0008,0.0,9.9909,0.13903453194336732
Braden量表,-0.1499,0.106,0.8608,0.6993,1.0596,0.15731368591105
身高,13.9853,9.9222,1185058.375,0.0042,330894646202975.56,0.15868865470823412
呼吸系统疾病/COPD,1.6094,1.1464,5.0,0.5286,47.2961,0.16035521507769046
入院舒张压,0.0456,0.0356,1.0467,0.9762,1.1222,0.19977122499968236
BMI,-0.1928,0.1554,0.8246,0.608,1.1183,0.21473531111272792
入院收缩压,0.025,0.0209,1.0253,0.9841,1.0682,0.2322923584067217
嗜酸性粒细胞比值,-0.2706,0.2399,0.7629,0.4767,1.221,0.2594548811082442
VTE确诊日期与入院日期差值,0.0781,0.0696,1.0813,0.9433,1.2394,0.2618967581337428
中性粒细胞绝对值(NEUT#)（*10^9/L）,0.1303,0.1217,1.1392,0.8975,1.4459,0.28410634777762533
肾功能不全,0.8873,0.8377,2.4286,0.4702,12.5425,0.2894817022329317
VTE诊断日期与入院日期是否大于24h,0.8473,0.8395,2.3333,0.4502,12.0941,0.3128367678029744
钾离子,0.7672,0.8143,2.1536,0.4365,10.6254,0.34615782127666006
血红蛋白浓度HGB【确诊前最近一次】(g/L),-0.0179,0.0201,0.9823,0.9444,1.0217,0.3736951354145637
活化凝血酶原时间APTT,0.0719,0.0829,1.0746,0.9134,1.2642,0.3857161455357796
手术史,-0.6931,0.8292,0.5,0.0984,2.5396,0.40317349423079685
性别_男,0.6779,0.8374,1.9697,0.3816,10.1665,0.41820026207453265
性别_女,-0.6779,0.8374,0.5077,0.0984,2.6204,0.41820026207453276
VTE评估量表（padua1，caprini2，P+C3）_caprini、padua,1.1896,1.4786,3.2857,0.1811,59.6021,0.4210968304550655
入院科室_呼吸与危重症医学科,1.1896,1.4786,3.2857,0.1811,59.6021,0.4210968304550655
主要疾病诊断_脑梗死恢复期,1.1896,1.4786,3.2857,0.1811,59.6021,0.4210968304550655
入院科室_血液内科,1.1896,1.4786,3.2857,0.1811,59.6021,0.4210968304550655
出院收缩压,0.0149,0.0204,1.0151,0.9753,1.0565,0.4637666354612128
