方案,模型,特征数,训练集AUC(10折CV),测试集AUC,外部验证AUC
A-排除全部,Random Forest,344,0.7566,0.644,0.6781
A-排除全部,SVM,344,0.6687,0.596,0.6971
A-排除全部,XGBoost,344,0.7974,0.786,0.6025
A-排除全部,Naive Bayes,344,0.5266,0.535,0.5127
A-排除全部,Decision Tree,344,0.666,0.779,0.6159
A-排除全部,KNN,344,0.5295,0.5,0.6425
B-保留争议变量,Random Forest,354,0.7858,0.782,0.8603
B-保留争议变量,SVM,354,0.6837,0.628,0.8121
B-保留争议变量,XGBoost,354,0.8617,0.878,0.7695
B-保留争议变量,Naive Bayes,354,0.5266,0.535,0.5127
B-保留争议变量,Decision Tree,354,0.7544,0.869,0.7286
B-保留争议变量,KNN,354,0.5273,0.534,0.6286
