模型,数据集,准确率,精确率,灵敏度,特异度,F1,AUC,TN,FP,FN,TP
Random Forest,训练集,1.0,1.0,1.0,1.0,1.0,1.0,97,0,0,82
Random Forest,测试集,0.8666666666666667,0.8888888888888888,0.8,0.92,0.8421052631578947,0.948,23,2,4,16
SVM,训练集,0.994413407821229,0.9879518072289156,1.0,0.9896907216494846,0.9939393939393939,1.0,96,1,0,82
SVM,测试集,0.8222222222222222,0.8333333333333334,0.75,0.88,0.7894736842105263,0.862,22,3,5,15
XGBoost,训练集,1.0,1.0,1.0,1.0,1.0,1.0,97,0,0,82
XGBoost,测试集,0.9111111111111111,0.8636363636363636,0.95,0.88,0.9047619047619048,0.986,22,3,1,19
Naive Bayes,训练集,0.9106145251396648,0.851063829787234,0.975609756097561,0.8556701030927835,0.9090909090909091,0.9834045763138044,83,14,2,80
Naive Bayes,测试集,0.6888888888888889,0.6153846153846154,0.8,0.6,0.6956521739130435,0.7000000000000002,15,10,4,16
Decision Tree,训练集,1.0,1.0,1.0,1.0,1.0,1.0,97,0,0,82
Decision Tree,测试集,0.8666666666666667,0.8888888888888888,0.8,0.92,0.8421052631578947,0.8600000000000001,23,2,4,16
KNN,训练集,1.0,1.0,1.0,1.0,1.0,1.0,97,0,0,82
KNN,测试集,0.6444444444444445,0.5833333333333334,0.7,0.6,0.6363636363636364,0.762,15,10,6,14
