"","False","True","p","test"
"n","97","82","",""
"BMI (mean (SD))","22.59 (3.56)","22.83 (2.79)","0.632",""
"首次VTE中高风险评分日期与机械预防日期差值 (mean (SD))","1.47 (5.47)","1.65 (13.04)","0.934",""
"住院天数 (mean (SD))","15.71 (11.94)","16.29 (10.72)","0.734",""
"出院收缩压 (mean (SD))","125.42 (17.58)","128.68 (18.62)","0.231",""
"年龄 (mean (SD))","65.15 (15.40)","64.51 (15.74)","0.783",""
"嗜酸性粒细胞比值 (mean (SD))","1.69 (1.98)","2.00 (2.04)","0.310",""
"身高 (mean (SD))","1.62 (0.07)","1.62 (0.08)","0.601",""
"VTE中高危评分 (mean (SD))","7.72 (3.23)","6.21 (2.73)","0.001",""
"首次VTE中高风险评分日期与药物预防日期差值 (mean (SD))","1.32 (4.04)","0.60 (3.01)","0.183",""
"VTE确诊日期与入院日期差值 (mean (SD))","3.62 (5.51)","3.95 (6.68)","0.715",""
"出院舒张压 (mean (SD))","74.95 (12.06)","75.04 (9.90)","0.958",""
"入院舒张压 (mean (SD))","80.36 (13.78)","76.94 (11.09)","0.072",""
"活化凝血酶原时间APTT (mean (SD))","27.88 (3.66)","29.14 (4.57)","0.042",""
"Braden量表 (mean (SD))","16.82 (4.58)","17.33 (4.46)","0.459",""
"钾离子 (mean (SD))","3.84 (0.51)","3.90 (0.51)","0.470",""
"首次DD与入院日期差值与VTE首次中高危评分日期差值 (mean (SD))","0.28 (2.02)","-0.20 (2.01)","0.119",""
"入院收缩压 (mean (SD))","136.00 (24.75)","128.30 (18.93)","0.022",""
"是否体力活动水平低 = 1 (%)","55 (56.7)","39 (47.6)","0.285",""
"VTE诊断日期与入院日期是否大于24h = 1 (%)","40 (41.2)","42 (51.2)","0.236",""
"医院相关性VTE = 1 (%)","40 (41.2)","82 (100.0)","<0.001",""
"首次异常DD与入院日期差值 (%)","","","0.186",""
"   -1","0 (0.0)","1 (1.2)","",""
"   0","50 (51.5)","31 (37.8)","",""
"   1","39 (40.2)","46 (56.1)","",""
"   2","2 (2.1)","2 (2.4)","",""
"   3","5 (5.2)","1 (1.2)","",""
"   4","1 (1.0)","1 (1.2)","",""
"是否药物预防 = 1 (%)","71 (73.2)","61 (74.4)","0.992",""
"是否步速缓慢 = 1 (%)","39 (40.2)","35 (42.7)","0.855",""
"VTE首次中高危评分日期与入院日期差值 (%)","","","0.462",""
"   -2","0 (0.0)","1 (1.2)","",""
"   -1","1 (1.0)","0 (0.0)","",""
"   0","72 (74.2)","67 (81.7)","",""
"   1","11 (11.3)","6 (7.3)","",""
"   2","6 (6.2)","5 (6.1)","",""
"   3","4 (4.1)","3 (3.7)","",""
"   4","3 (3.1)","0 (0.0)","",""
"是否存在抗凝禁忌 = 1 (%)","70 (72.2)","50 (61.0)","0.154",""
"高血压史 = 1 (%)","61 (62.9)","43 (52.4)","0.208",""
"糖尿病史 = 1 (%)","23 (23.7)","31 (37.8)","0.060",""
"首次DD与入院日期差值 (%)","","","0.396",""
"   -1","0 (0.0)","1 (1.2)","",""
"   0","58 (59.8)","46 (56.1)","",""
"   1","32 (33.0)","32 (39.0)","",""
"   2","2 (2.1)","2 (2.4)","",""
"   3","4 (4.1)","0 (0.0)","",""
"   4","1 (1.0)","1 (1.2)","",""
"我院相关VTE = 1 (%)","40 (41.2)","82 (100.0)","<0.001",""
"是否疲惫 = 1 (%)","26 (26.8)","18 (22.0)","0.564",""
"肾功能不全 = 1 (%)","30 (30.9)","20 (24.4)","0.421",""
"规范预防 = 1 (%)","32 (33.0)","12 (14.6)","0.008",""
"手术史 = 1 (%)","44 (45.4)","41 (50.0)","0.639",""
"感染史 = 1 (%)","74 (76.3)","46 (56.1)","0.007",""
"炎症 = 1 (%)","67 (69.1)","40 (48.8)","0.009",""
"是否机械预防 = 1 (%)","53 (54.6)","17 (20.7)","<0.001",""
"入院科室_呼吸与危重症医学科 = 1 (%)","19 (19.6)","9 (11.0)","0.169",""
"入院科室_康复科 = 1 (%)","6 (6.2)","19 (23.2)","0.002",""
"入院科室_心血管内科 = 1 (%)","6 (6.2)","5 (6.1)","1.000",""
"入院科室_神经内科 = 1 (%)","10 (10.3)","10 (12.2)","0.872",""
"入院科室_神经外科 = 1 (%)","21 (21.6)","3 (3.7)","0.001",""
"VTE首次中高危评分日期与机械预防日期差值_0 = 1 (%)","26 (26.8)","12 (14.6)","0.072",""
"VTE首次中高危评分日期与机械预防日期差值_none = 1 (%)","44 (45.4)","62 (75.6)","<0.001",""
"主要疾病诊断_肺栓塞 = 1 (%)","10 (10.3)","0 (0.0)","0.008",""
"主要疾病诊断_脑梗死恢复期 = 1 (%)","3 (3.1)","9 (11.0)","0.072",""
"VTE首次中高危评分日期与药物预防日期差值_0 = 1 (%)","23 (23.7)","20 (24.4)","1.000",""
"VTE首次中高危评分日期与药物预防日期差值_1 = 1 (%)","8 (8.2)","8 (9.8)","0.929",""
"VTE首次中高危评分日期与药物预防日期差值_2 = 1 (%)","1 (1.0)","8 (9.8)","0.020",""
"VTE首次中高危评分日期与药物预防日期差值_none = 1 (%)","25 (25.8)","25 (30.5)","0.594",""
"性别_女 = 1 (%)","44 (45.4)","41 (50.0)","0.639",""
"性别_男 = 1 (%)","53 (54.6)","41 (50.0)","0.639",""
"预防措施_无预防 = 1 (%)","13 (13.4)","19 (23.2)","0.133",""
"预防措施_机械预防 = 1 (%)","14 (14.4)","4 (4.9)","0.062",""
"预防措施_药物预防 = 1 (%)","31 (32.0)","46 (56.1)","0.002",""
