变量,β系数,OR,95%CI下限,95%CI上限,P值
VTE首次中高危评分日期与机械预防日期差值_0,3.1355,23.0,2.0148,262.5629,0.0116
VTE首次中高危评分日期与机械预防日期差值_none,-2.1203,0.12,0.0201,0.7182,0.0202
首次VTE中高风险评分日期与机械预防日期差值_无,-2.1203,0.12,0.0201,0.7182,0.0202
首次D-二聚体检测数值（μg/ml FEU）,0.5912,1.8062,1.0931,2.9843,0.021
凝血酶原时间PT（s）,0.4418,1.5556,0.9867,2.4523,0.0571
是否久坐/卧床,2.113,8.2727,0.8773,78.0099,0.0649
预防措施_药物预防+机械预防,1.8871,6.6,0.8619,50.5408,0.0692
潜在可预防VTE,-1.8871,0.1515,0.0198,1.1603,0.0692
是否机械预防,1.6094,5.0,0.8662,28.8608,0.072
RBC平均血红蛋白量(MCH),-0.2328,0.7923,0.6148,1.0211,0.072
是否疲惫,1.9459,7.0,0.7431,65.9425,0.089
总钙(mmol/L),-5.8151,0.003,0.0,2.4315,0.0891
是否步速缓慢,1.7789,5.9231,0.6281,55.8532,0.1202
首次异常DD与入院日期差值,-1.1404,0.3197,0.0746,1.3702,0.1246
机械预防措施（VTE确诊前）_气压治疗,1.4351,4.2,0.6447,27.3624,0.1334
机械预防措施（VTE确诊前）_0,-1.4351,0.2381,0.0365,1.5512,0.1334
年龄,0.0464,1.0475,0.9855,1.1135,0.1363
嗜酸粒细胞绝对值(E0#)（*10^9/L）,-7.085,0.0008,0.0,9.9892,0.139
Braden量表,-0.1499,0.8608,0.6994,1.0596,0.1573
身高,13.9853,1185058.375,0.0042,330776421227318.25,0.1587
呼吸系统疾病/COPD,1.6094,5.0,0.5286,47.2941,0.1604
入院舒张压,0.0456,1.0467,0.9762,1.1222,0.1998
BMI,-0.1928,0.8246,0.608,1.1183,0.2147
入院收缩压,0.025,1.0253,0.9841,1.0682,0.2323
嗜酸性粒细胞比值,-0.2706,0.7629,0.4767,1.221,0.2595
VTE确诊日期与入院日期差值,0.0781,1.0813,0.9433,1.2394,0.2619
首次VTE中高风险评分日期与机械预防日期差值,-1.1312,0.3227,0.0427,2.4363,0.2728
中性粒细胞绝对值(NEUT#)（*10^9/L）,0.1303,1.1392,0.8975,1.4459,0.2841
肾功能不全,0.8873,2.4286,0.4703,12.5421,0.2895
VTE诊断日期与入院日期是否大于24h,0.8473,2.3333,0.4502,12.0938,0.3128
钾离子,0.7672,2.1536,0.4365,10.6251,0.3462
预防措施_无预防,-1.0586,0.3469,0.0357,3.3671,0.3613
血红蛋白浓度HGB【确诊前最近一次】(g/L),-0.0179,0.9823,0.9444,1.0217,0.3737
活化凝血酶原时间APTT,0.0719,1.0746,0.9134,1.2642,0.3857
手术史,-0.6931,0.5,0.0984,2.5395,0.4032
性别_女,-0.6779,0.5077,0.0984,2.6204,0.4182
预防措施_药物预防,-0.6779,0.5077,0.0984,2.6204,0.4182
性别_男,0.6779,1.9697,0.3816,10.1662,0.4182
VTE评估量表（padua1，caprini2，P+C3）_caprini、padua,1.1896,3.2857,0.1811,59.599,0.4211
入院科室_呼吸与危重症医学科,1.1896,3.2857,0.1811,59.599,0.4211
主要疾病诊断_脑梗死恢复期,1.1896,3.2857,0.1811,59.599,0.4211
VTE首次中高危评分日期与药物预防日期差值_1,1.1896,3.2857,0.1811,59.599,0.4211
入院科室_血液内科,1.1896,3.2857,0.1811,59.599,0.4211
出院收缩压,0.0149,1.0151,0.9753,1.0565,0.4638
VTE评估量表（padua1，caprini2，P+C3）_padua,0.8473,2.3333,0.2363,23.0405,0.4683
住院天数,-0.0321,0.9684,0.8876,1.0566,0.4705
是否药物预防,0.5878,1.8,0.2972,10.9012,0.5224
首次DD与入院日期差值,-0.3313,0.718,0.2152,2.395,0.5899
入院科室_康复科,-0.6109,0.5429,0.0536,5.4982,0.6051
VTE首次中高危评分日期与入院日期差值,0.2295,1.258,0.5061,3.1272,0.6213
纤维蛋白原Fbg（g/L）,-0.1813,0.8342,0.3996,1.7412,0.6291
出院舒张压,-0.0205,0.9797,0.9007,1.0656,0.6322
首次DD与入院日期差值与VTE首次中高危评分日期差值,0.1281,1.1367,0.656,1.9698,0.6478
白细胞计数(*10^9/L),0.0506,1.0519,0.8412,1.3153,0.6573
糖尿病史,0.3365,1.4,0.281,6.976,0.6813
是否存在抗凝禁忌,0.3438,1.4103,0.2732,7.2788,0.6814
RBC平均血红蛋白浓度(MCHC),-0.0083,0.9918,0.9481,1.0374,0.7184
预防措施_机械预防,0.452,1.5714,0.1231,20.0587,0.7279
入院科室_心血管内科,0.452,1.5714,0.1231,20.0587,0.7279
感染史,-0.452,0.6364,0.0499,8.123,0.7279
入院科室_泌尿外科,0.452,1.5714,0.1231,20.0587,0.7279
高血压史,0.3365,1.4,0.1329,14.7429,0.7794
