变量,β系数,OR,95%CI,P值
90天前是否我院就诊,3.6438,38.2367,10.90-134.17,0.0
是否机械预防,-1.5056,0.2219,0.09-0.56,0.0014
出血风险评估（1/0）,-1.2023,0.3005,0.11-0.79,0.015
炎症,-0.8696,0.4191,0.13-1.36,0.1473
主要疾病诊断_肺栓塞,-1.6066,0.2006,0.02-1.89,0.1608
呼吸系统疾病/COPD,-0.6823,0.5055,0.18-1.44,0.2003
入院收缩压,-0.0126,0.9875,0.97-1.01,0.2033
VTE中高危评分,0.0872,1.0912,0.93-1.28,0.2935
入院科室_神经外科,-0.8249,0.4383,0.09-2.17,0.3127
入院科室_康复科,0.6239,1.8661,0.36-9.59,0.4552
主要疾病诊断_脑梗死恢复期,0.6628,1.9402,0.20-19.03,0.5694
本次入院前90天有无住院史、治疗史、手术史,-0.0982,0.9065,0.30-2.74,0.8618
感染史,0.0968,1.1016,0.36-3.40,0.8662
规范预防,-0.0585,0.9431,0.28-3.20,0.9252
