变量,β系数,OR,95%CI,P值
潜在可预防VTE,-2.303,0.1,0.02-0.46,0.0031
活化凝血酶原时间APTT,-0.1678,0.8455,0.75-0.96,0.0093
白细胞计数(*10^9/L),0.1847,1.2029,0.94-1.54,0.1384
VTE中高危评分,0.1291,1.1378,0.94-1.38,0.1823
90天前是否我院就诊,-1.118,0.3269,0.06-1.76,0.1934
Braden量表,-0.0644,0.9377,0.84-1.04,0.238
入院科室_神经外科,-0.8991,0.4069,0.09-1.86,0.2468
VTE诊断日期与入院日期是否大于24h,-0.7261,0.4838,0.11-2.18,0.3448
是否疲惫,0.3457,1.413,0.47-4.21,0.5347
感染史,-0.3416,0.7106,0.19-2.67,0.6126
本次入院前90天有无住院史、治疗史、手术史,0.3336,1.396,0.31-6.36,0.6663
炎症,0.2456,1.2784,0.36-4.57,0.7055
中性粒细胞绝对值(NEUT#)（*10^9/L）,-0.0116,0.9885,0.77-1.28,0.9291
是否机械预防,-0.1374,0.8716,0.00-inf,1.0
机械预防措施（VTE确诊前）_气压治疗,-0.1374,0.8716,0.00-inf,1.0
