变量,β系数,OR,95%CI下限,95%CI上限,P值
潜在可预防VTE,-2.1961,0.1112,0.0507,0.2439,0.0
VTE首次中高危评分日期与机械预防日期差值_none,-1.754,0.1731,0.079,0.3794,0.0
首次VTE中高风险评分日期与机械预防日期差值_无,-1.754,0.1731,0.079,0.3794,0.0
VTE中高危评分,0.232,1.2611,1.1152,1.426,0.0002
机械预防措施（VTE确诊前）_0,-1.3425,0.2612,0.1246,0.5475,0.0004
机械预防措施（VTE确诊前）_气压治疗,1.3425,3.8286,1.8264,8.0256,0.0004
是否机械预防,1.3425,3.8286,1.8264,8.0256,0.0004
VTE首次中高危评分日期与机械预防日期差值_0,1.3719,3.9429,1.7623,8.8214,0.0008
白细胞计数(*10^9/L),0.1564,1.1693,1.0655,1.2831,0.001
中性粒细胞绝对值(NEUT#)（*10^9/L）,0.1461,1.1573,1.0536,1.2712,0.0023
90天前是否我院就诊,-1.09,0.3362,0.1642,0.6883,0.0029
炎症,1.1761,3.2419,1.4916,7.0457,0.003
Braden量表,-0.1037,0.9015,0.8342,0.9742,0.0088
预防措施_药物预防+机械预防,0.9388,2.5568,1.2554,5.2073,0.0097
VTE诊断日期与入院日期是否大于24h,1.1214,3.0692,1.3047,7.2203,0.0102
活化凝血酶原时间APTT,-0.1253,0.8822,0.8005,0.9723,0.0116
本次入院前90天有无住院史、治疗史、手术史,-0.8967,0.4079,0.1999,0.8322,0.0137
入院科室_神经外科,1.125,3.0802,1.2438,7.628,0.015
感染史,0.977,2.6564,1.1637,6.0638,0.0203
预防措施_无预防,-2.3968,0.091,0.0119,0.6987,0.0212
是否疲惫,0.8535,2.3478,1.1084,4.9732,0.0258
肾功能不全,0.8364,2.3081,1.1032,4.8291,0.0264
高血压史,0.8195,2.2693,1.1004,4.68,0.0265
首次D-二聚体检测数值（μg/ml FEU）,0.1356,1.1452,1.0149,1.2923,0.0278
首次VTE中高风险评分日期与药物预防日期差值,-0.1026,0.9025,0.8212,0.9918,0.0331
住院天数,0.0308,1.0313,1.0003,1.0632,0.0476
总钙(mmol/L),2.1621,8.6895,0.8697,86.8165,0.0656
血红蛋白浓度HGB【确诊前最近一次】(g/L),-0.0132,0.9869,0.9729,1.0011,0.0704
是否久坐/卧床,0.7207,2.0559,0.9418,4.4883,0.0704
首次DD与入院日期差值与VTE首次中高危评分日期差值,0.1478,1.1592,0.9862,1.3626,0.0731
预防措施_机械预防,0.9575,2.6053,0.9127,7.437,0.0736
VTE首次中高危评分日期与药物预防日期差值_6,2.0009,7.3953,0.7483,73.0832,0.0869
是否存在抗凝禁忌,0.6814,1.9766,0.9046,4.3187,0.0875
预防措施_药物预防,-0.6493,0.5224,0.2474,1.1029,0.0885
红细胞计数(*10^12/L),-0.3722,0.6892,0.4463,1.0644,0.0932
VTE确诊日期与入院日期差值,0.0409,1.0418,0.9893,1.097,0.1203
VTE评估量表（padua1，caprini2，P+C3）_padua,-0.5506,0.5766,0.2857,1.164,0.1245
性别_男,0.5351,1.7076,0.8349,3.4927,0.1428
性别_女,-0.5351,0.5856,0.2863,1.1978,0.1428
主要疾病诊断_脑梗死恢复期,-1.5345,0.2156,0.0268,1.7354,0.1493
入院科室_脊柱外科,1.2982,3.6628,0.5911,22.6978,0.163
VTE首次中高危评分日期与药物预防日期差值_9,1.2982,3.6628,0.5911,22.6978,0.163
是否体力活动水平低,0.4979,1.6453,0.8145,3.3235,0.1651
VTE评估量表（padua1，caprini2，P+C3）_caprini,0.5017,1.6516,0.8112,3.3624,0.1666
首次DD与入院日期差值,0.2968,1.3456,0.8723,2.0757,0.1796
纤维蛋白原Fbg（g/L）,0.1602,1.1737,0.9212,1.4955,0.195
主要疾病诊断_脑内出血,1.5724,4.8182,0.4259,54.5136,0.204
主要疾病诊断_颅内动脉瘤破裂伴蛛网膜下腔出血,1.5724,4.8182,0.4259,54.5136,0.204
入院科室_骨关节科,1.5724,4.8182,0.4259,54.5136,0.204
主要疾病诊断_肺部感染,1.5724,4.8182,0.4259,54.5136,0.204
VTE首次中高危评分日期与机械预防日期差值_1,0.8971,2.4524,0.5859,10.2642,0.2194
入院科室_康复科,-0.634,0.5305,0.186,1.5129,0.2358
首次VTE中高风险评分日期与机械预防日期差值,-0.0375,0.9632,0.9044,1.0257,0.2423
嗜酸性粒细胞比值,-0.1117,0.8943,0.7406,1.0799,0.2457
糖尿病史,0.4085,1.5046,0.7234,3.1296,0.2743
入院舒张压,-0.0134,0.9866,0.9604,1.0136,0.3279
VTE首次中高危评分日期与入院日期差值,0.1758,1.1922,0.8366,1.6991,0.3306
呼吸系统疾病/COPD,0.3185,1.375,0.686,2.7561,0.3694
主要疾病诊断_重症肺炎,0.8698,2.3864,0.3258,17.4806,0.392
VTE首次中高危评分日期与药物预防日期差值_4,0.8698,2.3864,0.3258,17.4806,0.392
入院收缩压,0.0062,1.0062,0.9913,1.0214,0.4161
VTE首次中高危评分日期与药物预防日期差值_none,-0.3383,0.713,0.3147,1.6152,0.4175
BMI,0.0475,1.0486,0.933,1.1786,0.426
是否药物预防,0.3275,1.3875,0.5936,3.2433,0.4497
入院科室_肿瘤科,0.5858,1.7965,0.3857,8.3688,0.4555
VTE首次中高危评分日期与药物预防日期差值_0,0.3127,1.3671,0.5939,3.1472,0.4623
入院科室_肾内科,-0.7911,0.4533,0.0515,3.9923,0.476
首次异常D-二聚体检测数值（μg/ml FEU）_1.34,0.8568,2.3556,0.1442,38.4914,0.5478
主要疾病诊断_肺炎,0.8568,2.3556,0.1442,38.4914,0.5478
VTE首次中高危评分日期与机械预防日期差值_32,0.8568,2.3556,0.1442,38.4914,0.5478
主要疾病诊断_肺栓塞,0.8568,2.3556,0.1442,38.4914,0.5478
VTE首次中高危评分日期与机械预防日期差值_-2,0.8568,2.3556,0.1442,38.4914,0.5478
首次异常D-二聚体检测数值（μg/ml FEU）_5.84,0.8568,2.3556,0.1442,38.4914,0.5478
首次异常D-二聚体检测数值（μg/ml FEU）_0.82,0.8568,2.3556,0.1442,38.4914,0.5478
VTE首次中高危评分日期与药物预防日期差值_-6,0.8568,2.3556,0.1442,38.4914,0.5478
钾离子,0.2016,1.2234,0.6126,2.4433,0.5678
是否步速缓慢,0.1952,1.2156,0.6075,2.4324,0.5812
入院科室_普外科,-0.4318,0.6494,0.1297,3.2517,0.5994
入院科室_呼吸与危重症医学科,0.2693,1.3091,0.4531,3.7819,0.6188
入院科室_心血管内科,-0.5582,0.5722,0.0622,5.264,0.622
VTE评估量表（padua1，caprini2，P+C3）_padua、caprini,0.4547,1.5758,0.2544,9.7603,0.625
主要疾病诊断_脑出血恢复期,0.4547,1.5758,0.2544,9.7603,0.625
VTE首次中高危评分日期与药物预防日期差值_-1,0.4547,1.5758,0.2544,9.7603,0.625
