SPSS变量名,原始变量名,P值
Y_VTE,潜在可预防VTE,
X1,90天前是否我院就诊,2.1365218556166616e-14
X2,本次入院前90天有无住院史、治疗史、手术史,2.9696327484700003e-09
X3,机械预防措施（VTE确诊前）_0,7.1880318831510855e-06
X4,机械预防措施（VTE确诊前）_气压治疗,7.188031883151325e-06
X5,是否机械预防,7.188031883151325e-06
X6,VTE首次中高危评分日期与机械预防日期差值_none,5.9656247368232e-05
X7,出血风险评估（1/0）,0.0004026914715358
X8,预防措施_药物预防+机械预防,0.0005171136056365
X9,预防措施_药物预防,0.0013064399963834
X10,VTE中高危评分,0.0015753049837444
X11,入院科室_神经外科,0.0018598180534274
X12,入院科室_康复科,0.0021808315084099
X13,感染史,0.0046610893338977
X14,规范预防,0.0054769004064946
X15,炎症,0.0062273935240011
X16,呼吸系统疾病/COPD,0.0150764998385689
X17,入院收缩压,0.0247959800623555
X18,VTE首次中高危评分日期与药物预防日期差值_2,0.0290490661835288
X19,糖尿病史,0.0420608484132727
X20,预防措施_机械预防,0.0430458587267042
X21,活化凝血酶原时间APTT,0.046954528688574
X22,主要疾病诊断_脑梗死恢复期,0.0483988522693213
X23,VTE首次中高危评分日期与机械预防日期差值_0,0.0501519663422335
X24,VTE评估量表（padua1，caprini2，P+C3）_caprini,0.0558142262969601
X25,入院舒张压,0.0748706608671923
X26,预防措施_无预防,0.0925669694025242
