模型,数据集,准确率,精确率,灵敏度,特异度,F1,AUC,TN,FP,FN,TP
Random Forest,训练集,0.994413407821229,1.0,0.9876543209876543,1.0,0.9937888198757764,1.0,98,0,1,80
Random Forest,测试集,0.6222222222222222,0.5882352941176471,0.5,0.72,0.5405405405405406,0.69,18,7,10,10
SVM,训练集,0.9441340782122905,0.927710843373494,0.9506172839506173,0.9387755102040817,0.9390243902439024,0.9858906525573192,92,6,4,77
SVM,测试集,0.6666666666666666,0.6190476190476191,0.65,0.68,0.6341463414634146,0.6559999999999999,17,8,7,13
XGBoost,训练集,0.9273743016759777,0.8863636363636364,0.9629629629629629,0.8979591836734694,0.9230769230769231,0.9930713025951121,88,10,3,78
XGBoost,测试集,0.7333333333333333,0.6666666666666666,0.8,0.68,0.7272727272727273,0.786,17,8,4,16
Naive Bayes,训练集,0.7039106145251397,0.6228070175438597,0.8765432098765432,0.5612244897959183,0.7282051282051282,0.8345930964978582,55,43,10,71
Naive Bayes,测试集,0.4222222222222222,0.39285714285714285,0.55,0.32,0.4583333333333333,0.467,8,17,9,11
Decision Tree,训练集,0.9497206703910615,0.9285714285714286,0.9629629629629629,0.9387755102040817,0.9454545454545454,0.9943310657596371,92,6,3,78
Decision Tree,测试集,0.7777777777777778,0.7272727272727273,0.8,0.76,0.7619047619047619,0.771,19,6,4,16
KNN,训练集,1.0,1.0,1.0,1.0,1.0,1.0,98,0,0,81
KNN,测试集,0.5555555555555556,0.5,0.55,0.56,0.5238095238095238,0.62,14,11,9,11
