变量,β系数,SE,OR值,95%CI下限,95%CI上限,P值
是否机械预防,1.5243,0.5606,4.5918,1.5303,13.7781,0.006548797062698013
是否步速缓慢,2.8622,1.0674,17.5,2.1601,141.7766,0.007328482134743632
凝血酶原时间PT（s）,0.4398,0.1804,1.5524,1.0899,2.211,0.014801317722991843
是否久坐/卧床,1.5041,0.6297,4.5,1.3099,15.4591,0.016906497524196328
是否疲惫,1.4061,0.592,4.08,1.2786,13.0197,0.0175453814554778
呼吸系统疾病/COPD,1.3147,0.5915,3.7238,1.168,11.8718,0.026244150298598078
肾功能不全,1.1758,0.5683,3.2407,1.0638,9.8725,0.038563191243084056
炎症,1.6433,0.8069,5.1724,1.0637,25.152,0.041698978527361055
Braden量表,-0.1274,0.063,0.8804,0.7782,0.9961,0.043192080923327214
VTE确诊日期与入院日期差值,0.0808,0.0412,1.0842,1.0001,1.1753,0.04968659497108918
首次DD与入院日期差值与VTE首次中高危评分日期差值,0.2626,0.1393,1.3003,0.9896,1.7086,0.059406538616236335
RBC平均血红蛋白量(MCH),-0.1975,0.1055,0.8208,0.6675,1.0093,0.06122322149835466
总钙(mmol/L),-4.4778,2.4247,0.0114,0.0001,1.3162,0.06479066371615565
入院收缩压,0.0228,0.0124,1.0231,0.9985,1.0483,0.06628216368745428
活化凝血酶原时间APTT,0.0979,0.0534,1.1029,0.9934,1.2245,0.0665013823404753
首次异常D-二聚体检测数值（μg/ml FEU）_0.56,-1.9459,1.0811,0.1429,0.0172,1.189,0.07187740225366904
首次VTE中高风险评分日期与机械预防日期差值,-0.6826,0.3835,0.5053,0.2383,1.0715,0.075074975927872
首次D-二聚体检测数值（μg/ml FEU）,0.1727,0.1042,1.1885,0.969,1.4578,0.09739816035390224
VTE诊断日期与入院日期是否大于24h,1.0837,0.7005,2.9556,0.7488,11.6663,0.12186882107157095
90天内院内就诊/住院史,-0.8561,0.5634,0.4248,0.1408,1.2818,0.12866849303101252
纤维蛋白原Fbg（g/L）,0.3344,0.2346,1.3971,0.882,2.2128,0.15413353400953364
出院收缩压,0.022,0.016,1.0222,0.9907,1.0547,0.16958404408545802
嗜酸粒细胞绝对值(E0#)（*10^9/L）,-2.701,2.0255,0.0671,0.0013,3.5573,0.18236908147375852
入院科室_神经外科,0.865,0.6497,2.375,0.6647,8.4864,0.18308432593293722
白细胞计数(*10^9/L),0.0941,0.0734,1.0987,0.9515,1.2688,0.19975841908118175
入院科室_康复科,-1.3795,1.1034,0.2517,0.0289,2.1884,0.21121412171743048
嗜酸性粒细胞比值,-0.174,0.143,0.8403,0.6349,1.1122,0.22390144020918057
高血压史,0.7419,0.6406,2.1,0.5984,7.3701,0.24675667222439157
VTE中高危评分,0.1048,0.0939,1.1105,0.9239,1.3349,0.2641732131266108
中性粒细胞绝对值(NEUT#)（*10^9/L）,0.0754,0.0693,1.0783,0.9413,1.2352,0.2769491600147217
住院天数,0.0275,0.0255,1.0279,0.9777,1.0807,0.280746030549042
入院舒张压,0.0214,0.0202,1.0216,0.982,1.0628,0.2887438299111925
VTE首次中高危评分日期与入院日期差值,0.2538,0.2393,1.2889,0.8064,2.0602,0.2888885149031407
手术史,-0.5596,0.5292,0.5714,0.2025,1.6122,0.2902774693863127
血红蛋白浓度HGB【确诊前最近一次】(g/L),-0.0135,0.0138,0.9866,0.9604,1.0136,0.32841640851934817
入院科室_呼吸与危重症医学科,0.7691,0.8624,2.1579,0.3981,11.6976,0.37245776236948236
BMI,-0.0627,0.0715,0.9392,0.8164,1.0805,0.3803708994788737
钾离子,-0.4189,0.4869,0.6577,0.2533,1.7082,0.38957724351380907
首次异常DD与入院日期差值,-0.2519,0.3246,0.7773,0.4114,1.4687,0.43775281653795417
年龄,0.0139,0.018,1.014,0.9789,1.0504,0.4393119352362518
身高,2.8645,3.8708,17.5402,0.0089,34587.4581,0.45928223430874693
是否药物预防,0.4212,0.5722,1.5238,0.4965,4.6771,0.46162990114153246
RBC平均血红蛋白浓度(MCHC),-0.0122,0.017,0.9879,0.9554,1.0214,0.4738612097373782
入院科室_心血管内科,0.7419,1.0362,2.1,0.2755,16.0063,0.4740009349499057
VTE评估量表（padua1，caprini2，P+C3）_caprini,-0.3944,0.5509,0.6741,0.2289,1.9846,0.47406047946714547
首次DD与入院日期差值,0.2034,0.2923,1.2256,0.6911,2.1734,0.48645400888363277
感染史,0.4055,0.6533,1.5,0.4169,5.3972,0.534819618327788
性别_女,-0.2768,0.5283,0.7582,0.2692,2.1357,0.6003988399072644
性别_男,0.2768,0.5283,1.3188,0.4682,3.7146,0.6003988399072673
是否存在抗凝禁忌,0.2768,0.5283,1.3188,0.4682,3.7146,0.6003988399072676
主要疾病诊断_脑梗死恢复期,0.7167,1.4391,2.0476,0.122,34.3713,0.6184698115379426
