变量,β系数,SE,OR值,95%CI下限,95%CI上限,P值
VTE中高危评分,0.232,0.0627,1.2611,1.1152,1.426,0.000216211333434931
是否机械预防,1.3425,0.3776,3.8286,1.8264,8.0257,0.00037790557982989807
白细胞计数(*10^9/L),0.1564,0.0474,1.1693,1.0655,1.2831,0.0009691820961540236
中性粒细胞绝对值(NEUT#)（*10^9/L）,0.1461,0.0479,1.1573,1.0536,1.2712,0.0022858447067429016
炎症,1.1761,0.3961,3.2419,1.4916,7.0458,0.0029820672553647616
Braden量表,-0.1037,0.0396,0.9015,0.8342,0.9742,0.008793209578379077
VTE诊断日期与入院日期是否大于24h,1.1214,0.4365,3.0692,1.3047,7.2204,0.010190876947477738
活化凝血酶原时间APTT,-0.1253,0.0496,0.8822,0.8005,0.9724,0.011565544154236107
90天内院内就诊/住院史,-0.8967,0.3638,0.4079,0.1999,0.8322,0.013711368957778868
入院科室_神经外科,1.125,0.4627,3.0802,1.2438,7.6282,0.015036655849014457
感染史,0.977,0.4211,2.6564,1.1637,6.0639,0.020340335804231092
是否疲惫,0.8535,0.383,2.3478,1.1084,4.9733,0.025833372287443986
肾功能不全,0.8364,0.3766,2.3081,1.1032,4.8292,0.026367102745180705
高血压史,0.8195,0.3693,2.2693,1.1003,4.6801,0.026493237435475984
首次D-二聚体检测数值（μg/ml FEU）,0.1356,0.0616,1.1452,1.0149,1.2923,0.027781335298192017
首次VTE中高风险评分日期与药物预防日期差值,-0.1026,0.0482,0.9025,0.8212,0.9918,0.033140561329024355
住院天数,0.0308,0.0156,1.0313,1.0003,1.0632,0.04763462348812169
总钙(mmol/L),2.1621,1.1743,8.6895,0.8697,86.8201,0.06560375573889009
血红蛋白浓度HGB【确诊前最近一次】(g/L),-0.0132,0.0073,0.9869,0.9729,1.0011,0.07036217568146445
是否久坐/卧床,0.7207,0.3983,2.0559,0.9418,4.4883,0.07039708297388575
首次DD与入院日期差值与VTE首次中高危评分日期差值,0.1478,0.0825,1.1592,0.9862,1.3626,0.0731456464048324
是否存在抗凝禁忌,0.6814,0.3988,1.9766,0.9046,4.3188,0.0875150838158907
红细胞计数(*10^12/L),-0.3722,0.2218,0.6892,0.4462,1.0644,0.09321869679983984
VTE确诊日期与入院日期差值,0.0409,0.0264,1.0418,0.9893,1.097,0.12028046350853594
VTE评估量表（padua1，caprini2，P+C3）_padua,-0.5506,0.3584,0.5766,0.2857,1.164,0.12447054780840128
性别_男,0.5351,0.3651,1.7076,0.8348,3.4927,0.1427636969618934
性别_女,-0.5351,0.3651,0.5856,0.2863,1.1978,0.14276369696189375
主要疾病诊断_脑梗死恢复期,-1.5345,1.0642,0.2156,0.0268,1.7355,0.14931469421654356
入院科室_脊柱外科,1.2982,0.9307,3.6628,0.5911,22.6986,0.163026874947372
是否体力活动水平低,0.4979,0.3587,1.6453,0.8145,3.3235,0.16512496226580398
VTE评估量表（padua1，caprini2，P+C3）_caprini,0.5017,0.3627,1.6516,0.8112,3.3625,0.16659623920191557
首次DD与入院日期差值,0.2968,0.2212,1.3456,0.8723,2.0757,0.1795772912677599
纤维蛋白原Fbg（g/L）,0.1602,0.1236,1.1737,0.9212,1.4955,0.1949689267513891
主要疾病诊断_颅内动脉瘤破裂伴蛛网膜下腔出血,1.5724,1.2378,4.8182,0.4258,54.516,0.20397406569709708
主要疾病诊断_脑内出血,1.5724,1.2378,4.8182,0.4258,54.516,0.20397406569709708
入院科室_骨关节科,1.5724,1.2378,4.8182,0.4258,54.516,0.20397406569709708
主要疾病诊断_肺部感染,1.5724,1.2378,4.8182,0.4258,54.516,0.2039740656970972
入院科室_康复科,-0.634,0.5347,0.5305,0.186,1.5129,0.23575095874599394
首次VTE中高风险评分日期与机械预防日期差值,-0.0375,0.0321,0.9632,0.9044,1.0257,0.24231648108818415
嗜酸性粒细胞比值,-0.1117,0.0962,0.8943,0.7406,1.0799,0.2456756552537549
糖尿病史,0.4085,0.3737,1.5046,0.7234,3.1296,0.27426680445959317
入院舒张压,-0.0134,0.0137,0.9866,0.9604,1.0136,0.32787217555861303
VTE首次中高危评分日期与入院日期差值,0.1758,0.1807,1.1922,0.8366,1.6991,0.33063475356298355
呼吸系统疾病/COPD,0.3185,0.3548,1.375,0.686,2.7562,0.36940405951017985
主要疾病诊断_重症肺炎,0.8698,1.016,2.3864,0.3258,17.4812,0.3919559757684069
入院收缩压,0.0062,0.0076,1.0062,0.9913,1.0214,0.4161027839082576
BMI,0.0475,0.0596,1.0486,0.933,1.1786,0.42598761610969726
是否药物预防,0.3275,0.4332,1.3875,0.5936,3.2433,0.44965877301877466
入院科室_肿瘤科,0.5858,0.785,1.7965,0.3856,8.369,0.4555118644092748
入院科室_肾内科,-0.7911,1.11,0.4533,0.0515,3.9925,0.4760011388124158
首次异常D-二聚体检测数值（μg/ml FEU）_0.82,0.8568,1.4254,2.3556,0.1441,38.4934,0.5477772885018893
首次异常D-二聚体检测数值（μg/ml FEU）_5.84,0.8568,1.4254,2.3556,0.1441,38.4934,0.5477772885018894
主要疾病诊断_肺炎,0.8568,1.4254,2.3556,0.1441,38.4934,0.5477772885018894
主要疾病诊断_肺栓塞,0.8568,1.4254,2.3556,0.1441,38.4934,0.5477772885018894
首次异常D-二聚体检测数值（μg/ml FEU）_1.34,0.8568,1.4254,2.3556,0.1441,38.4934,0.5477772885018894
钾离子,0.2016,0.3529,1.2234,0.6126,2.4433,0.5677940543330532
是否步速缓慢,0.1952,0.3539,1.2156,0.6075,2.4324,0.5812163021531667
入院科室_普外科,-0.4318,0.8219,0.6494,0.1297,3.2518,0.5993597427970043
入院科室_呼吸与危重症医学科,0.2693,0.5413,1.3091,0.4531,3.782,0.618781435668582
入院科室_心血管内科,-0.5582,1.1322,0.5722,0.0622,5.2642,0.6219867014016631
VTE评估量表（padua1，caprini2，P+C3）_padua、caprini,0.4547,0.9304,1.5758,0.2544,9.7606,0.6250226602641828
主要疾病诊断_脑出血恢复期,0.4547,0.9304,1.5758,0.2544,9.7606,0.6250226602641828
手术史,-0.1686,0.353,0.8448,0.423,1.6875,0.6328706031356206
首次异常DD与入院日期差值,0.0789,0.2186,1.0821,0.705,1.6608,0.7180916533457319
RBC平均血红蛋白量(MCH),-0.0218,0.0618,0.9784,0.8668,1.1045,0.7244120143050528
嗜酸粒细胞绝对值(E0#)（*10^9/L）,0.3509,1.1085,1.4203,0.1618,12.4715,0.7515820331411236
身高,0.6785,2.1741,1.9709,0.0278,139.7452,0.7549864809476139
凝血酶原时间PT（s）,0.0342,0.1117,1.0348,0.8313,1.2881,0.759455069657347
入院科室_老年医学科,-0.2609,1.1684,0.7704,0.078,7.6079,0.8233160305362044
入院科室_消化内科,-0.2609,1.1684,0.7704,0.078,7.6079,0.8233160305362044
主要疾病诊断_脑梗死,-0.2609,1.1684,0.7704,0.078,7.6079,0.8233160305362045
年龄,0.0014,0.0118,1.0014,0.9784,1.0248,0.9081415109910163
出院收缩压,-0.001,0.0097,0.999,0.9803,1.0181,0.9205224831316301
入院科室_神经内科,-0.0352,0.5641,0.9654,0.3195,2.917,0.9502982176801819
出院舒张压,0.0008,0.0156,1.0008,0.9707,1.0319,0.9596112191343016
RBC平均血红蛋白浓度(MCHC),-0.0006,0.0128,0.9994,0.9746,1.0248,0.9603196095090285
主要疾病诊断_颈部脊髓损伤,21.8713,20548.2905,3152012798.1109,0.0,inf,0.9991507432260218
首次异常D-二聚体检测数值（μg/ml FEU）_4.92,-22.9511,146229.8093,0.0,0.0,inf,0.999874770364681
主要疾病诊断_充血性心力衰竭,-22.9511,146229.8093,0.0,0.0,inf,0.999874770364681
首次异常D-二聚体检测数值（μg/ml FEU）_18.12,-22.9511,146229.8093,0.0,0.0,inf,0.999874770364681
主要疾病诊断_大面积肺栓塞（高危组 ）,-22.9511,146229.8093,0.0,0.0,inf,0.999874770364681
主要疾病诊断_呼吸困难,-22.9511,146229.8093,0.0,0.0,inf,0.999874770364681
主要疾病诊断_化疗后骨髓抑制,-22.9511,146229.8093,0.0,0.0,inf,0.999874770364681
首次异常D-二聚体检测数值（μg/ml FEU）_7.26,-22.9511,146229.8093,0.0,0.0,inf,0.999874770364681
主要疾病诊断_重型原发性免疫性血小板减少症,-22.9511,146229.8093,0.0,0.0,inf,0.999874770364681
主要疾病诊断_败血症,-22.9511,146229.8093,0.0,0.0,inf,0.999874770364681
主要疾病诊断_丙型肝炎后肝硬化失代偿期,-22.9511,146229.8093,0.0,0.0,inf,0.999874770364681
首次异常D-二聚体检测数值（μg/ml FEU）_0.16,-22.9511,146229.8093,0.0,0.0,inf,0.999874770364681
首次异常D-二聚体检测数值（μg/ml FEU）_1.08,-22.9511,146229.8093,0.0,0.0,inf,0.999874770364681
首次异常D-二聚体检测数值（μg/ml FEU）_1.26,-22.9511,146229.8093,0.0,0.0,inf,0.999874770364681
首次异常D-二聚体检测数值（μg/ml FEU）_3.28,-22.9511,146229.8093,0.0,0.0,inf,0.999874770364681
主要疾病诊断_急性疼痛,-22.9511,146229.8093,0.0,0.0,inf,0.999874770364681
首次异常D-二聚体检测数值（μg/ml FEU）_0.51,-22.9511,146229.8093,0.0,0.0,inf,0.999874770364681
首次异常D-二聚体检测数值（μg/ml FEU）_2.56,-22.9511,146229.8093,0.0,0.0,inf,0.999874770364681
首次异常D-二聚体检测数值（μg/ml FEU）_0.62,-22.9511,146229.8093,0.0,0.0,inf,0.999874770364689
主要疾病诊断_特鲁索综合征,-22.9511,146229.8093,0.0,0.0,inf,0.999874770364689
首次异常D-二聚体检测数值（μg/ml FEU）_11.33,-22.9511,146229.8093,0.0,0.0,inf,0.999874770364689
首次异常D-二聚体检测数值（μg/ml FEU）_5.85,-22.9511,146229.8093,0.0,0.0,inf,0.999874770364689
主要疾病诊断_左腋神经损伤,-22.9511,146229.8093,0.0,0.0,inf,0.999874770364689
主要疾病诊断_右侧胫骨髁间棘骨折,-22.9511,146229.8093,0.0,0.0,inf,0.999874770364689
