变量,SHAP均值,单因素P值,单因素OR,多因素P值,多因素OR
90天内院内就诊/住院史,0.79545647,4.609587605632009e-09,5.8783,0.0,7.339
VTE诊断日期与入院日期是否大于24h,0.36713183,,,,
出血风险评估（1/0）,0.33918384,2.1253689900553896e-05,0.3031,0.0004,0.2238
活化凝血酶原时间APTT,0.28594002,,,,
入院收缩压,0.19677351,,,,
VTE中高危评分,0.19256549,0.0015121796765736,0.8513,0.8004,1.0177
年龄,0.17141101,,,,
入院科室_康复科,0.17102994,0.0004603203044449,5.4304,0.01,4.6491
炎症,0.14758396,0.0018264081557104,0.4205,0.1896,0.5314
身高,0.12473577,,,,
嗜酸粒细胞绝对值(E0#)（*10^9/L）,0.120367326,,,,
入院科室_神经外科,0.102138326,0.0055124806732072,0.2391,0.308,0.5026
纤维蛋白原Fbg（g/L）,0.09479438,,,,
首次D-二聚体检测数值（μg/ml FEU）,0.08865385,,,,
红细胞计数(*10^12/L),0.0831739,,,,
RBC平均血红蛋白浓度(MCHC),0.08064073,,,,
出院舒张压,0.0656757,,,,
钾离子,0.06443135,,,,
RBC平均血红蛋白量(MCH),0.060504396,,,,
中性粒细胞绝对值(NEUT#)（*10^9/L）,0.05688213,,,,
主要疾病诊断_脑梗死恢复期,,0.0171965140454227,4.8889,,
呼吸系统疾病/COPD,,0.0059196694823314,0.4714,0.1718,0.5637
感染史,,0.0138932458861061,0.4946,0.5089,1.3598
是否机械预防,,3.20633390277344e-06,0.2521,0.001,0.2788
规范预防,,0.0027665305406083,0.3619,0.2451,1.8139
