变量,类型,阳性组(n=63),阴性组(n=25),统计方法,P值
是否机械预防,分类,11/63 (17.5%),22/25 (88.0%),Fisher精确,8.649722378366063e-10
预防措施_药物预防+机械预防,分类,4/63 (6.3%),18/25 (72.0%),Fisher精确,9.68069343509212e-10
首次VTE中高风险评分日期与机械预防日期差值_无,分类,48/63 (76.2%),3/25 (12.0%),Fisher精确,3.365360394181866e-08
VTE首次中高危评分日期与机械预防日期差值_无值,分类,48/63 (76.2%),3/25 (12.0%),Fisher精确,3.365360394181866e-08
VTE诊断日期与入院日期是否大于24h,分类,25/63 (39.7%),24/25 (96.0%),Fisher精确,5.82584487932688e-07
规范预防,分类,9/63 (14.3%),16/25 (64.0%),卡方检验,1.0748241814556466e-05
VTE确诊日期与入院日期差值,连续,1.00[0.50-4.50],9.00[3.00-12.00],Mann-Whitney U,1.1166219955761935e-05
预防措施_基础预防,分类,21/63 (33.3%),0/25 (0.0%),Fisher精确,0.0005069463518965337
预防措施_药物预防,分类,31/63 (49.2%),3/25 (12.0%),Fisher精确,0.0013595718219288015
是否步速缓慢,分类,36/63 (57.1%),23/25 (92.0%),Fisher精确,0.002050255537232919
中性粒细胞绝对值(NEUT#)（*10^9/L）,连续,5.67[3.92-6.68],7.65[6.12-10.44],Mann-Whitney U,0.003099191604622025
90天内院内就诊/住院史,分类,49/63 (77.8%),11/25 (44.0%),卡方检验,0.0048887677570050615
医院相关性VTE,分类,42/63 (66.7%),24/25 (96.0%),Fisher精确,0.0051133787063403
白细胞计数(*10^9/L),连续,7.92[5.86-8.95],9.82[8.05-12.39],Mann-Whitney U,0.006031718177828178
住院天数,连续,10.00[6.00-20.50],21.00[14.00-28.00],Mann-Whitney U,0.006652747369477233
是否体力活动水平低,分类,34/63 (54.0%),21/25 (84.0%),Fisher精确,0.01359927720199243
是否药物预防,分类,35/63 (55.6%),21/25 (84.0%),Fisher精确,0.014324193603075793
VTE评估量表（padua1，caprini2，P+C3）_padua,分类,40/63 (63.5%),8/25 (32.0%),卡方检验,0.014756123281609761
总钙(mmol/L),连续,2.17±0.13,2.09±0.12,t检验,0.019749742839551315
VTE首次中高危评分日期与入院日期差值,分类,22/63 (34.9%),16/25 (64.0%),卡方检验,0.024765394120363462
