变量,类型,阳性组(n=101),阴性组(n=123),统计方法,P值
医院相关性VTE,分类,101/101 (100.0%),52/123 (42.3%),Fisher精确,5.64438227127396e-25
90天内院内就诊/住院史,分类,78/101 (77.2%),45/123 (36.6%),卡方检验,2.7167275844492924e-09
是否机械预防,分类,24/101 (23.8%),68/123 (55.3%),卡方检验,3.565572559097881e-06
首次VTE中高风险评分日期与机械预防日期差值_无,分类,75/101 (74.3%),54/123 (43.9%),卡方检验,9.067276811415403e-06
VTE首次中高危评分日期与机械预防日期差值_无值,分类,75/101 (74.3%),54/123 (43.9%),卡方检验,9.067276811415403e-06
出血风险评估（1/0）,分类,39/101 (38.6%),83/123 (67.5%),卡方检验,2.8924314254577777e-05
预防措施_药物预防+机械预防,分类,18/101 (17.8%),54/123 (43.9%),卡方检验,5.9436663336784865e-05
入院科室_康复科,分类,22/101 (21.8%),6/123 (4.9%),卡方检验,0.0003140051816328678
主要疾病诊断_肺栓塞,分类,0/101 (0.0%),12/123 (9.8%),Fisher精确,0.0006309798352592806
预防措施_药物预防,分类,55/101 (54.5%),40/123 (32.5%),卡方检验,0.001526908652935677
VTE中高危评分,连续,6.00[4.00-8.00],7.00[5.00-9.00],Mann-Whitney U,0.001818956759513997
炎症,分类,48/101 (47.5%),84/123 (68.3%),卡方检验,0.002635897796679895
规范预防,分类,15/101 (14.9%),40/123 (32.5%),卡方检验,0.003717549965235088
入院科室_神经外科,分类,5/101 (5.0%),22/123 (17.9%),卡方检验,0.005913111571349729
呼吸系统疾病/COPD,分类,42/101 (41.6%),74/123 (60.2%),卡方检验,0.008425524062121976
主要疾病诊断_脑梗死恢复期,分类,11/101 (10.9%),3/123 (2.4%),Fisher精确,0.011779520920878922
感染史,分类,58/101 (57.4%),90/123 (73.2%),卡方检验,0.019558270331389935
VTE首次中高危评分日期与入院日期差值,分类,30/101 (29.7%),56/123 (45.5%),卡方检验,0.022298786585539947
嗜酸性粒细胞比值,连续,1.40[0.40-3.20],1.20[0.20-2.25],Mann-Whitney U,0.03290363266898527
活化凝血酶原时间APTT,连续,27.90[26.50-31.00],27.50[25.80-29.40],Mann-Whitney U,0.04140019315641499
首次D-二聚体检测数值（μg/ml FEU）,连续,1.81[0.73-3.76],2.27[1.29-4.32],Mann-Whitney U,0.05918375753091044
嗜酸粒细胞绝对值(E0#)（*10^9/L）,连续,0.11[0.04-0.20],0.08[0.03-0.16],Mann-Whitney U,0.06810618221105486
是否久坐/卧床,分类,59/101 (58.4%),87/123 (70.7%),卡方检验,0.07437800450550333
预防措施_基础预防,分类,22/101 (21.8%),15/123 (12.2%),卡方检验,0.08153484022215038
入院收缩压,连续,127.00[117.00-142.00],130.00[119.00-150.00],Mann-Whitney U,0.08675329067666836
是否体力活动水平低,分类,45/101 (44.6%),70/123 (56.9%),卡方检验,0.08788052464025879
入院科室_感染科,分类,3/101 (3.0%),0/123 (0.0%),Fisher精确,0.09016764201741781
入院科室_呼吸与危重症医学科,分类,12/101 (11.9%),26/123 (21.1%),卡方检验,0.09733648225808683
首次DD与入院日期差值与VTE首次中高危评分日期差值,连续,0.00[-1.00-0.00],0.00[0.00-0.00],Mann-Whitney U,0.10602919807698069
年龄,连续,63.00[53.00-76.00],68.00[57.50-76.50],Mann-Whitney U,0.1142449647563451
入院科室_脊柱外科,分类,2/101 (2.0%),8/123 (6.5%),Fisher精确,0.11852102627796442
糖尿病史,分类,34/101 (33.7%),29/123 (23.6%),卡方检验,0.12818603501101558
主要疾病诊断_脑内出血,分类,0/101 (0.0%),4/123 (3.3%),Fisher精确,0.1288903239246157
纤维蛋白原Fbg（g/L）,连续,3.71[3.05-4.65],3.49[2.79-4.37],Mann-Whitney U,0.16377524684469347
