变量,β系数,SE,OR值,95%CI下限,95%CI上限,P值,VIF
90天内院内就诊/住院史,1.9932,0.3741,7.339,3.5256,15.2772,0.0,2.02
出血风险评估（1/0）,-1.4969,0.4223,0.2238,0.0978,0.5121,0.0004,3.25
是否机械预防,-1.2774,0.3878,0.2788,0.1304,0.5961,0.001,2.25
入院科室_康复科,1.5367,0.5969,4.6491,1.443,14.9784,0.01,1.25
呼吸系统疾病/COPD,-0.5733,0.4196,0.5637,0.2477,1.2829,0.1718,3.32
炎症,-0.6322,0.482,0.5314,0.2066,1.3668,0.1896,4.93
规范预防,0.5955,0.5123,1.8139,0.6646,4.9511,0.2451,2.03
入院科室_神经外科,-0.688,0.675,0.5026,0.1339,1.8868,0.308,1.44
感染史,0.3073,0.4653,1.3598,0.5463,3.3849,0.5089,5.04
VTE中高危评分,0.0176,0.0696,1.0177,0.888,1.1664,0.8004,5.27
