变量,β系数,SE,OR值,95%CI下限,95%CI上限,P值
90天内院内就诊/住院史,1.7713,0.3022,5.8783,3.2508,10.6294,4.609587605632009e-09
是否机械预防,-1.3779,0.2959,0.2521,0.1412,0.4502,3.2063339027734402e-06
出血风险评估（1/0）,-1.1935,0.2807,0.3031,0.1749,0.5256,2.1253689900553896e-05
入院科室_康复科,1.692,0.483,5.4304,2.107,13.9959,0.0004603203044449639
VTE中高危评分,-0.1609,0.0507,0.8513,0.7708,0.9404,0.0015121796765736244
炎症,-0.8663,0.2779,0.4205,0.2439,0.725,0.001826408155710423
规范预防,-1.0163,0.3396,0.3619,0.186,0.7042,0.002766530540608346
入院科室_神经外科,-1.4308,0.5155,0.2391,0.087,0.6568,0.005512480673207235
呼吸系统疾病/COPD,-0.7521,0.2733,0.4714,0.2759,0.8053,0.005919669482331456
感染史,-0.7041,0.2862,0.4946,0.2822,0.8667,0.01389324588610616
主要疾病诊断_脑梗死恢复期,1.587,0.6661,4.8889,1.325,18.0387,0.017196514045422762
嗜酸性粒细胞比值,0.1353,0.0693,1.1449,0.9995,1.3114,0.050882253539667834
入院收缩压,-0.0122,0.0063,0.9879,0.9759,1.0001,0.05179810487567242
是否久坐/卧床,-0.5425,0.2829,0.5813,0.3339,1.012,0.05514466834275996
活化凝血酶原时间APTT,0.059,0.0315,1.0608,0.9973,1.1284,0.060864925625511344
是否体力活动水平低,-0.4969,0.2706,0.6084,0.358,1.0341,0.06633492122126589
入院科室_呼吸与危重症医学科,-0.6871,0.3786,0.503,0.2395,1.0565,0.06954374535672873
首次DD与入院日期差值与VTE首次中高危评分日期差值,-0.1258,0.073,0.8818,0.7641,1.0175,0.08491198687394852
年龄,-0.015,0.0087,0.9851,0.9684,1.0021,0.08573324183459734
糖尿病史,0.4977,0.2991,1.6449,0.9152,2.9562,0.09613131704377686
首次异常D-二聚体检测数值（μg/ml FEU）_0.56,0.6785,0.4326,1.9709,0.8442,4.6016,0.11678063813980989
入院科室_脊柱外科,-1.2365,0.8024,0.2904,0.0603,1.3996,0.1233074348294143
是否疲惫,-0.4767,0.3198,0.6208,0.3317,1.162,0.13605507449242754
VTE诊断日期与入院日期是否大于24h,0.3709,0.2701,1.449,0.8534,2.4602,0.16973879588609198
高血压史,-0.3586,0.2708,0.6986,0.4109,1.1877,0.18530859862903126
VTE评估量表（padua1，caprini2，P+C3）_caprini,-0.3874,0.2938,0.6788,0.3817,1.2073,0.18727540456979164
首次D-二聚体检测数值（μg/ml FEU）,-0.0619,0.0483,0.94,0.8551,1.0333,0.1997259213655629
VTE首次中高危评分日期与入院日期差值,-0.1954,0.1539,0.8225,0.6083,1.1121,0.20423681807379968
出院收缩压,0.0096,0.0076,1.0097,0.9948,1.0248,0.20465242741667156
入院科室_普外科,0.7954,0.6418,2.2154,0.6297,7.794,0.21519409892864538
是否存在抗凝禁忌,-0.3415,0.2826,0.7107,0.4085,1.2366,0.22685994890551675
出院舒张压,0.0142,0.0124,1.0143,0.99,1.0392,0.25020798754506424
嗜酸粒细胞绝对值(E0#)（*10^9/L）,1.0102,0.8794,2.7463,0.49,15.3927,0.2506498994162565
肾功能不全,-0.3446,0.3012,0.7085,0.3926,1.2785,0.2525364995193413
主要疾病诊断_重症肺炎,-1.2123,1.1262,0.2975,0.0327,2.7049,0.2817235493579734
VTE评估量表（padua1，caprini2，P+C3）_padua、caprini,0.9142,0.8767,2.4948,0.4475,13.9089,0.2970296641062877
主要疾病诊断_脑出血恢复期,0.9142,0.8767,2.4948,0.4475,13.9089,0.29702966410628795
纤维蛋白原Fbg（g/L）,0.1004,0.0985,1.1056,0.9115,1.341,0.30804350249732737
入院科室_甲乳血管外科,0.734,0.743,2.0833,0.4856,8.9378,0.3232433868941542
钾离子,0.2709,0.2778,1.3111,0.7606,2.2601,0.32951559044796797
入院科室_肿瘤科,-0.6787,0.7036,0.5073,0.1278,2.0144,0.33473918912574463
手术史,0.2528,0.2691,1.2876,0.7598,2.182,0.3475689547198959
VTE评估量表（padua1，caprini2，P+C3）_padua,0.2645,0.2856,1.3027,0.7442,2.2803,0.35450957022779084
首次异常DD与入院日期差值,0.1584,0.174,1.1716,0.833,1.6478,0.36278261004665935
白细胞计数(*10^9/L),-0.0293,0.0351,0.9711,0.9066,1.0402,0.4032736652859219
入院科室_骨关节科,-0.9163,1.1626,0.4,0.041,3.9057,0.4306199973480236
中性粒细胞绝对值(NEUT#)（*10^9/L）,-0.0293,0.0375,0.9712,0.9023,1.0453,0.4354918972279016
入院舒张压,-0.0081,0.0104,0.992,0.972,1.0124,0.4374247850201709
凝血酶原时间PT（s）,-0.0694,0.0918,0.9329,0.7792,1.1169,0.44965022892692175
首次异常D-二聚体检测数值（μg/ml FEU）_1.21,0.902,1.2322,2.4646,0.2202,27.5815,0.4641271325961077
入院科室_创伤骨科,0.902,1.2322,2.4646,0.2202,27.5815,0.4641271325961077
入院科室_老年医学科,-0.5159,0.7202,0.5969,0.1455,2.4491,0.47378031821605515
RBC平均血红蛋白量(MCH),0.0318,0.0453,1.0323,0.9445,1.1283,0.48287144309752705
Braden量表,0.0207,0.0299,1.0209,0.9629,1.0824,0.48859119246375826
主要疾病诊断_慢性肾脏病5期,0.6163,0.9229,1.852,0.3034,11.3049,0.5042925579787844
身高,-1.0032,1.696,0.3667,0.0132,10.1864,0.5542008472974047
入院科室_神经内科,0.2231,0.4175,1.25,0.5515,2.8333,0.593006659433475
首次VTE中高风险评分日期与药物预防日期差值,-0.0197,0.0373,0.9805,0.9114,1.0549,0.5980440216607656
BMI,0.0219,0.0417,1.0221,0.9419,1.1091,0.6000371670918907
是否药物预防,-0.1623,0.3131,0.8502,0.4603,1.5705,0.6042537000341792
红细胞计数(*10^12/L),-0.0873,0.1714,0.9164,0.6549,1.2822,0.6103038819393004
性别_女,-0.1226,0.2689,0.8846,0.5222,1.4986,0.6485270978943007
性别_男,0.1226,0.2689,1.1304,0.6673,1.9149,0.648527097894302
是否步速缓慢,-0.1187,0.2743,0.888,0.5187,1.5204,0.6651747290447503
主要疾病诊断_颈部脊髓损伤,-0.5025,1.2322,0.605,0.0541,6.7703,0.6833940997719006
主要疾病诊断_肺炎,-0.5025,1.2322,0.605,0.0541,6.7703,0.6833940997719006
入院科室_心血管内科,-0.1472,0.6016,0.8631,0.2655,2.8063,0.8066572896474015
主要疾病诊断_急性脑梗死,0.2025,0.8278,1.2245,0.2417,6.2025,0.8067179045980484
入院科室_血液科,0.2025,0.8278,1.2245,0.2417,6.2025,0.8067179045980484
主要疾病诊断_脑梗死,0.2025,0.8278,1.2245,0.2417,6.2025,0.8067179045980485
入院科室_重症医学科,-0.2131,0.9229,0.8081,0.1324,4.9323,0.8173986400558599
入院科室_消化内科,0.2007,1.0091,1.2222,0.1691,8.8338,0.8423777446321132
首次VTE中高风险评分日期与机械预防日期差值,0.0045,0.0253,1.0045,0.9559,1.0556,0.8585941044918505
入院科室_妇科,0.1989,1.4206,1.22,0.0754,19.7527,0.8886809534974501
首次异常D-二聚体检测数值（μg/ml FEU）_0.55,0.1989,1.4206,1.22,0.0754,19.7527,0.8886809534974501
首次异常D-二聚体检测数值（μg/ml FEU）_1.04,0.1989,1.4206,1.22,0.0754,19.7527,0.8886809534974501
入院科室_风湿免疫科,0.1989,1.4206,1.22,0.0754,19.7527,0.8886809534974501
首次异常D-二聚体检测数值（μg/ml FEU）_0.71,0.1989,1.4206,1.22,0.0754,19.7527,0.8886809534974501
入院科室_介入科,0.1989,1.4206,1.22,0.0754,19.7527,0.8886809534974501
首次异常D-二聚体检测数值（μg/ml FEU）_1.27,0.1989,1.4206,1.22,0.0754,19.7527,0.8886809534974501
首次异常D-二聚体检测数值（μg/ml FEU）_1.34,0.1989,1.4206,1.22,0.0754,19.7527,0.8886809534974501
主要疾病诊断_急性肺栓塞,0.1989,1.4206,1.22,0.0754,19.7527,0.8886809534974501
首次异常D-二聚体检测数值（μg/ml FEU）_1.62,0.1989,1.4206,1.22,0.0754,19.7527,0.8886809534974501
首次异常D-二聚体检测数值（μg/ml FEU）_1.43,0.1989,1.4206,1.22,0.0754,19.7527,0.8886809534974501
首次异常D-二聚体检测数值（μg/ml FEU）_1.59,0.1989,1.4206,1.22,0.0754,19.7527,0.8886809534974501
首次异常D-二聚体检测数值（μg/ml FEU）_1.81,0.1989,1.4206,1.22,0.0754,19.7527,0.8886809534974501
首次异常D-二聚体检测数值（μg/ml FEU）_3.71,0.1989,1.4206,1.22,0.0754,19.7527,0.8886809534974501
首次异常D-二聚体检测数值（μg/ml FEU）_4.38,0.1989,1.4206,1.22,0.0754,19.7527,0.8886809534974501
主要疾病诊断_呼吸困难,0.1989,1.4206,1.22,0.0754,19.7527,0.8886809534974501
首次异常D-二聚体检测数值（μg/ml FEU）_5.84,0.1989,1.4206,1.22,0.0754,19.7527,0.8886809534974501
主要疾病诊断_腰椎压缩性骨折,0.1989,1.4206,1.22,0.0754,19.7527,0.8886809534974501
首次异常D-二聚体检测数值（μg/ml FEU）_5.74,0.1989,1.4206,1.22,0.0754,19.7527,0.8886809534974501
总钙(mmol/L),0.1234,0.9141,1.1313,0.1886,6.7864,0.8926499466046602
入院科室_肾内科,-0.0935,0.7758,0.9107,0.1991,4.1668,0.9040499953253649
主要疾病诊断_肺部感染,-0.0935,0.7758,0.9107,0.1991,4.1668,0.9040499953253649
首次DD与入院日期差值,-0.0202,0.1838,0.98,0.6836,1.405,0.9126084382536054
VTE确诊日期与入院日期差值,0.0021,0.0217,1.0021,0.9604,1.0457,0.9214698992073506
RBC平均血红蛋白浓度(MCHC),-0.0005,0.0101,0.9995,0.9798,1.0195,0.9577688475145448
血红蛋白浓度HGB【确诊前最近一次】(g/L),0.0002,0.0055,1.0002,0.9894,1.0111,0.9734388995775423
住院天数,-0.0001,0.0122,0.9999,0.9762,1.0242,0.9956416679904271
首次异常D-二聚体检测数值（μg/ml FEU）_1.12,-24.6451,173911.4595,0.0,0.0,inf,0.9998869313782331
