变量,β系数,SE,OR值,95%CI下限,95%CI上限,P值
是否机械预防,-3.5458,0.6992,0.0288,0.0073,0.1136,3.9583601158296827e-07
规范预防,-2.3671,0.5507,0.0938,0.0319,0.2759,1.7187935774351724e-05
VTE确诊日期与入院日期差值,-0.1595,0.0451,0.8526,0.7805,0.9314,0.00040436039813362544
VTE诊断日期与入院日期是否大于24h,-3.5968,1.0526,0.0274,0.0035,0.2157,0.0006331428789915909
90天内院内就诊/住院史,1.4939,0.5042,4.4545,1.6583,11.966,0.0030444560980032683
是否步速缓慢,-2.1547,0.7799,0.1159,0.0251,0.5347,0.0057337064519882
VTE评估量表（padua1，caprini2，P+C3）_padua,1.3072,0.5023,3.6957,1.3808,9.8913,0.009258424318069667
住院天数,-0.0609,0.0239,0.9409,0.898,0.986,0.010691898470553962
是否体力活动水平低,-1.4992,0.6013,0.2233,0.0687,0.7256,0.012653704718933368
是否药物预防,-1.4351,0.6016,0.2381,0.0732,0.7742,0.017055690158084637
首次DD与入院日期差值与VTE首次中高危评分日期差值,-0.2745,0.1195,0.76,0.6012,0.9606,0.02166445438664849
VTE评估量表（padua1，caprini2，P+C3）_caprini,-1.0986,0.488,0.3333,0.1281,0.8674,0.024354822818568947
总钙(mmol/L),4.5271,2.0295,92.4915,1.7322,4938.6291,0.0257004471205582
是否久坐/卧床,-1.1844,0.5318,0.3059,0.1079,0.8675,0.025932205344026266
白细胞计数(*10^9/L),-0.1374,0.0645,0.8716,0.7681,0.989,0.03304982196754357
中性粒细胞绝对值(NEUT#)（*10^9/L）,-0.131,0.0624,0.8773,0.7763,0.9913,0.035731394960253106
首次VTE中高风险评分日期与药物预防日期差值,-0.141,0.0692,0.8685,0.7583,0.9947,0.04165522354060283
纤维蛋白原Fbg（g/L）,-0.4381,0.2154,0.6452,0.4231,0.9841,0.041909568057074
VTE中高危评分,-0.1555,0.0827,0.856,0.728,1.0065,0.05993693292534336
首次异常D-二聚体检测数值（μg/ml FEU）_0.56,1.4469,0.79,4.25,0.9036,19.9903,0.06700660697626293
首次D-二聚体检测数值（μg/ml FEU）,-0.1712,0.0982,0.8427,0.6951,1.0216,0.08141865303198355
入院科室_神经外科,-1.0986,0.6352,0.3333,0.096,1.1577,0.08372150082798677
活化凝血酶原时间APTT,-0.0789,0.0472,0.9241,0.8425,1.0136,0.0943562235223363
入院科室_泌尿外科,-1.3375,0.8047,0.2625,0.0542,1.271,0.09650945418998567
嗜酸性粒细胞比值,0.225,0.1426,1.2523,0.9469,1.6562,0.11473590707594573
出血风险评估（1/0）,-0.7999,0.5337,0.4494,0.1579,1.279,0.1339171550709738
红细胞计数(*10^12/L),0.5666,0.3861,1.7622,0.8268,3.7561,0.14228628282961772
钾离子,0.6525,0.4548,1.9203,0.7875,4.6824,0.15136041294694136
Braden量表,0.0805,0.0564,1.0838,0.9704,1.2105,0.15366903877686636
入院科室_重症医学科,-1.6848,1.2488,0.1855,0.016,2.1446,0.17731151065468942
是否疲惫,-0.6585,0.4975,0.5176,0.1953,1.3724,0.1856143557822053
VTE首次中高危评分日期与入院日期差值,-0.2724,0.2229,0.7616,0.492,1.1788,0.22172393262623458
凝血酶原时间PT（s）,-0.1679,0.149,0.8455,0.6314,1.1322,0.2598306090114094
BMI,0.0781,0.0711,1.0812,0.9405,1.243,0.2721104060805567
身高,3.5349,3.555,34.2924,0.0323,36413.1016,0.3200486224923771
是否存在抗凝禁忌,0.4643,0.476,1.5909,0.6258,4.0445,0.3293966012084304
首次VTE中高风险评分日期与机械预防日期差值,-0.061,0.0635,0.9408,0.8306,1.0655,0.33662346569604074
入院收缩压,-0.0105,0.011,0.9895,0.9685,1.0111,0.3376305322245471
血红蛋白浓度HGB【确诊前最近一次】(g/L),0.0113,0.0118,1.0113,0.9881,1.0351,0.3418863830338399
入院科室_骨关节科,-0.9754,1.0295,0.377,0.0501,2.8361,0.3434198118649746
首次DD与入院日期差值,-0.2424,0.2688,0.7847,0.4633,1.3291,0.3671812032798627
糖尿病史,0.4595,0.5392,1.5833,0.5503,4.5556,0.39406825746502727
嗜酸粒细胞绝对值(E0#)（*10^9/L）,1.5168,1.791,4.5576,0.1362,152.4883,0.39704016379115215
呼吸系统疾病/COPD,-0.3522,0.4877,0.7031,0.2703,1.829,0.47020940980607584
感染史,-0.3909,0.5749,0.6765,0.2192,2.0876,0.4966111028835394
VTE评估量表（padua1，caprini2，P+C3）_caprini、padua,-0.9491,1.4345,0.3871,0.0233,6.4401,0.508221307391125
VTE评估量表（padua1，caprini2，P+C3）_padua、caprini,-0.9491,1.4345,0.3871,0.0233,6.4401,0.508221307391125
首次异常D-二聚体检测数值（μg/ml FEU）_3.02,-0.9491,1.4345,0.3871,0.0233,6.4401,0.508221307391125
首次异常D-二聚体检测数值（μg/ml FEU）_1.25,-0.9491,1.4345,0.3871,0.0233,6.4401,0.508221307391125
主要疾病诊断_急性心力衰竭,-0.9491,1.4345,0.3871,0.0233,6.4401,0.508221307391125
入院科室_创伤骨科,-0.9491,1.4345,0.3871,0.0233,6.4401,0.5082213073911253
手术史,-0.3102,0.4799,0.7333,0.2863,1.8785,0.5180901906948168
年龄,-0.0093,0.0161,0.9908,0.96,1.0226,0.5653454333020789
性别_女,-0.2728,0.4751,0.7613,0.3,1.9318,0.5658877811177612
性别_男,0.2728,0.4751,1.3136,0.5176,3.3335,0.5658877811177616
高血压史,-0.2513,0.5195,0.7778,0.281,2.1529,0.6285298923886978
肾功能不全,0.2513,0.5195,1.2857,0.4645,3.5589,0.6285298923886979
入院科室_心血管内科,0.4868,1.1439,1.6271,0.1729,15.3168,0.670433295375088
首次异常DD与入院日期差值,0.1185,0.2945,1.1258,0.6321,2.0051,0.6873689952134716
RBC平均血红蛋白量(MCH),-0.0286,0.0857,0.9718,0.8215,1.1495,0.7383539689500218
炎症,-0.1573,0.5476,0.8545,0.2921,2.4994,0.7739843392796356
出院收缩压,0.0033,0.0137,1.0034,0.9768,1.0306,0.8065457538609225
出院舒张压,-0.0056,0.0231,0.9944,0.9504,1.0405,0.8088376721811789
入院舒张压,-0.0039,0.0188,0.9961,0.9601,1.0334,0.8346728995204438
入院科室_肿瘤科,-0.2397,1.2482,0.7869,0.0681,9.087,0.8477333699862212
入院科室_神经内科,-0.2397,1.2482,0.7869,0.0681,9.087,0.8477333699862212
RBC平均血红蛋白浓度(MCHC),0.0026,0.0153,1.0026,0.973,1.0331,0.8652207784738595
入院科室_呼吸与危重症医学科,0.0645,0.7225,1.0667,0.2588,4.3955,0.9288198113372432
入院科室_介入科,22.5498,70495.6934,6212051252.0488,0.0,inf,0.9997447772796116
入院科室_血液内科,22.5498,70495.6934,6212051252.0489,0.0,inf,0.9997447772796116
