变量,β系数,SE,OR值,95%CI下限,95%CI上限,P值,VIF
90天前是否我院就诊,3.4568,0.5832,31.7162,10.1132,99.4656,0.0,3.4
出血风险评估（1/0）,-1.1514,0.4156,0.3162,0.14,0.714,0.0056,2.6
呼吸系统疾病/COPD,-0.8727,0.4884,0.4178,0.1604,1.0882,0.074,3.28
入院科室_神经外科,-1.2763,0.7816,0.2791,0.0603,1.2912,0.1025,1.38
炎症,-0.7468,0.5365,0.4739,0.1656,1.3564,0.164,4.98
主要疾病诊断_脑梗死恢复期,0.8753,1.1289,2.3995,0.2625,21.9308,0.4382,1.8
入院科室_康复科,0.533,0.826,1.704,0.3376,8.6023,0.5188,2.04
感染史,0.1099,0.5151,1.1162,0.4067,3.0634,0.8311,5.09
本次入院前90天有无住院史、治疗史、手术史,-0.0856,0.5278,0.918,0.3263,2.5827,0.8712,4.17
VTE中高危评分,0.0073,0.0762,1.0073,0.8675,1.1697,0.9237,4.76
