"模型","数据集","Python_AUC","R_AUC","差异","一致性"
"Random Forest","测试集",0.928,0.912,0.016,"一致"
"Random Forest","外部验证",0.7429,0.7175,0.0254,"一致"
"SVM","测试集",0.802,0.808,0.006,"一致"
"SVM","外部验证",0.7073,0.6914,0.0159,"一致"
"XGBoost","测试集",0.982,0.982,0,"一致"
"XGBoost","外部验证",0.6908,0.6965,0.0057,"一致"
"Naive Bayes","测试集",0.675,0.5,0.175,"有差异"
"Naive Bayes","外部验证",0.574,0.5,0.074,"一致"
"Decision Tree","测试集",0.845,0.913,0.068,"一致"
"Decision Tree","外部验证",0.6616,0.6613,3e-04,"一致"
"KNN","测试集",0.518,0.505,0.013,"一致"
"KNN","外部验证",0.607,0.5695,0.0375,"一致"
