变量,SHAP重要性,单因素OR,单因素P值,多因素OR,多因素P值
90天前是否我院就诊,2.5119972,20.1231,2.0118288580106034e-16,31.7162,0.0
VTE诊断日期与入院日期是否大于24h,1.228269,,,,
VTE确诊日期与入院日期差值,0.47820526,,,,
出血风险评估（1/0）,0.47505406,0.3147,3.613325878357516e-05,0.3162,0.0056
感染史,0.40209705,0.5088,0.0180954398146653,,
入院收缩压,0.39611924,0.9876,0.0463930859363533,,
活化凝血酶原时间APTT,0.27743608,,,,
VTE中高危评分,0.2723671,0.8563,0.002045611645407,,
首次D-二聚体检测数值（μg/ml FEU）,0.26073197,,,,
纤维蛋白原Fbg（g/L）,0.25784552,,,,
呼吸系统疾病/COPD,0.23462042,0.4892,0.0087213848563879,,
身高,0.22175221,,,,
红细胞计数(*10^12/L),0.19275278,,,,
出院收缩压,0.17541964,,,,
BMI,0.15477282,,,,
住院天数,0.15197146,,,,
本次入院前90天有无住院史、治疗史、手术史,0.14580955,6.0889,2.431247551172528e-09,,
RBC平均血红蛋白量(MCH),0.14069302,,,,
年龄,0.13379858,,,,
入院舒张压,0.10032656,,,,
